Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Closed Outlets Due to COVIDunavailable9,Public Services During COVIDunavailable9,Electronic Materials Added Due to COVIDunavailable9,Electronic Library Cards Issued Before COVIDunavailable9,Electronic Library Cards Issued During COVIDunavailable9,Reference Service During COVIDunavailable9,Outside Service During COVIDunavailable9,Live Virtual Programs During COVIDunavailable9,Recordings of Program Content During COVIDunavailable9,External WiFi Access Before COVIDunavailable9,External WiFi Access Added During COVIDunavailable9,External WiFi Access Increased During COVIDunavailable9,Staff Re-Assigned During COVIDunavailable9,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,Total # of Outlets,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Staff FTE,FTE Volunteers,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Electronic Books in Collection,# of Physical Audio Materials in Collection,# of Downloadable Audio Materials in Collection,# of Physical Video Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,# of Electronic Collections through State Funding in Collection,# of Electronic Collections in Collection,# of Current Serial Subscriptions,"Hours Open, All Outlets",Library Visits,Library visits reporting method,Reference Questions,Reference transactions reporting method,Physical Item Circulation,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Electronic Content Use,Total Circulation,Total Collection Use,ILL loans to others,ILL loans received,# of Children's Programs (calculated),"# of Children's Programs - Live, In-person","# of Children's Programs - Live, Virtual",Children's Program Attendance,"Children's Program Attendance - Live, In-person","Children's Program Attendance - Live, Virtual",# of Young Adult Programs (calculated),"# of Young Adult Programs - Live, In-person","# of Young Adult Programs - Live, Virtual",Young Adult Program Attendance (calculated),"Young Adult Program Attendance - Live, In-person","Young Adult Program Attendance - Live, Virtual",# of Adult Programs (calculated),"# of Adult Programs - Live, In-person","# of Adult Programs - Live, Virtual",Adult Program Attendance (calculated),"Adult Program Attendance - Live, In-person","Adult Program Attendance - Live, Virtual","Of the above programs, how many were offsite?",Attendance at offsite programs,Total # of Programs,Total Program Attendance,# recordings of program content,# views of recorded program content,# on-demand views of recorded live programs,CIPA Compliant,Annual Uses of Public Internet Computers,Virtual Visits to the library website,Wireless Sessions Per Year,# of Internet Terminals,FSCS ID,Fiscal Year
ST. HELENA PUBLIC LIBRARY,Napa,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,1492 LIBRARY LANE,ST. HELENA,94574,1143,(707) 963-5244,(707) 963-5244,http://www.shpl.org/,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,"6,073","6,635",895,1,0,0,1,"14,445","$1,030,603 ","$11,995 ","$3,000 ","$185,000 ","$1,230,598 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$584,520 ","$291,597 ","$876,117 ","$37,118 ","$5,210 ","$42,328 ","$41,908 ","$19,615 ","$103,851 ","$176,781 ","$1,156,749 ",$0 ,14,2,3,4.92,7.92,0.25,"22,024","1,410","49,297","128,287","6,134","17,413","10,746","5,514",18,2,20,63,"1,787","67,336",Annual Count,unavailable,Annual Estimate Based on Typical Week(s),"109,006","45,197","3,350","20,081","30,129","50,210","129,087","159,216","22,738","13,440",338,338,,"5,004","5,004",,2,2,,30,30,,87,87,,"1,455","1,455",,126,"2,797",427,"6,489",10,643,0,No,"2,547","43,659",unavailable,14,CA0141,19-20
STANISLAUS COUNTY FREE LIBRARY,Stanislaus,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,49-99 Cooperative Library System,1500 I ST.,MODESTO,95354,1166,(209) 558-7801,(209) 558-7814,http://stanislauslibrary.org,"1,521.00",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,"557,709","457,341","31,434",1,12,0,13,"148,547","$11,205,291 ","$312,569 ","$222,594 ","$864,970 ","$12,605,424 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$5,237,577 ","$2,675,953 ","$7,913,530 ","$330,921 ","$7,338 ","$338,259 ","$262,133 ","$43,807 ","$644,199 ","$3,371,309 ","$11,929,038 ","$4,866,099 ",148,18,21,104.8,125.8,1.63,"254,678","32,441","566,695","458,166","15,342","385,208","37,121","17,448",20,3,23,264,"21,204","912,673",Annual Count,"89,531",Annual Estimate Based on Typical Week(s),"1,048,421","535,982","28,669","216,003","4,490","220,493","1,264,424","1,268,914","6,723","5,778","1,781","1,781",0,"93,254","93,254",0,198,198,0,"5,303","5,303",0,297,297,0,"2,585","2,585",0,177,"17,949","2,276","101,142",131,"18,983",0,Yes,"84,799","1,226,759","194,055",144,CA0140,19-20
STOCKTON-SAN JOAQUIN COUNTY PUBLIC LIBRARY,San Joaquin,Municipal Library,County/Parish (most nearly),Member of a Federation or Cooperative,City/County,49-99 Cooperative Library System,605 N. EL DORADO ST.,STOCKTON,95202,1999,(209) 937-8362,(209) 937-8221,http://www.ssjcpl.org,"1,409.00",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,"705,702","153,804","38,128",1,14,1,17,"196,170","$15,088,684 ","$29,678 ",$0 ,"$280,474 ","$15,398,836 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$4,720,157 ","$2,413,210 ","$7,133,367 ","$660,861 ","$48,652 ","$709,513 ","$421,921 ","$48,653 ","$1,180,087 ","$6,006,320 ","$14,319,774 ",$0 ,186,25,25,51,76,2.9,"232,483","35,211","532,736","22,365","27,178","20,685","35,031","7,546",49,2,51,716,unavailable,"578,193",Annual Count,"70,583",Annual Count,"575,497","460,183","15,332","148,750","93,625","242,375","724,247","817,872","8,820","15,548","2,062",,,"50,165",,,320,,,"3,915",,,728,,,"5,986",,,303,"16,400","3,110","60,066",50,820,463,Yes,"91,081","534,018",unavailable,244,CA0142,19-20
SUNNYVALE PUBLIC LIBRARY,Santa Clara,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,665 W. OLIVE AVE.,SUNNYVALE,94086,7622,(408) 730-7314,(408) 730-7300,http://www.sunnyvalelibrary.org,25,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"156,503","101,756","10,739",1,0,0,1,"60,800","$9,288,902 ",$0 ,$0 ,"$181,725 ","$9,470,627 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,834,947 ","$2,043,316 ","$4,878,263 ","$370,102 ","$14,475 ","$384,577 ","$412,880 ","$6,547 ","$804,004 ","$3,606,635 ","$9,288,902 ",$0 ,88,18.24,18.24,25.38,43.62,0.58,"99,278","9,131","227,463","550,536","12,873","394,012","31,391","33,127",57,3,60,242,"2,353","402,030",Annual Count,"47,412",Annual Estimate Based on Typical Week(s),"1,213,573","681,542","100,237","212,150","447,043","659,193","1,425,723","1,872,766","6,031","6,098",328,309,19,"25,659","23,835","1,824",66,64,2,"2,179","2,112",67,209,201,8,"5,671","5,504",167,93,"5,658",603,"33,509",40,"8,576",513,No,"47,976","275,661",unavailable,55,CA0143,19-20
SUTTER COUNTY LIBRARY,Sutter,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,750 FORBES AVE.,YUBA CITY,95991,3891,(530) 822-7137,-1,http://www.co.sutter.ca.us/doc/government/depts/library/library,681,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,"100,750","43,982","11,324",1,2,0,3,"25,132","$1,230,394 ","$92,867 ","$189,211 ","$99,104 ","$1,611,576 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$705,483 ","$448,975 ","$1,154,458 ","$43,766 ","$3,570 ","$47,336 ","$6,200 ","$3,760 ","$57,296 ","$399,823 ","$1,611,577 ",$0 ,16,1,1,12,13,6,"35,289","3,656","103,091","7,866",832,"7,654","4,633",0,4,3,7,75,"2,690","190,853",Annual Estimate Based on Typical Week(s),895,Annual Estimate Based on Typical Week(s),"209,302","54,951","1,077","7,866",524,"8,390","217,168","217,692","47,305","48,892",277,270,7,"11,427","10,519",908,311,191,120,"2,200","1,300",900,962,962,0,"26,349","26,349",0,452,"13,270","1,550","39,976",3,324,0,Yes,"89,551","27,468","15,514",44,CA0144,19-20
TEHAMA COUNTY LIBRARY,Tehama,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,545 DIAMOND AVE.,RED BLUFF,96080,4302,(530) 527-0604,(530) 527-0604,http://www.tehamacountylibrary.org,"2,951.00",Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,"65,129","15,187","3,201",1,2,0,3,"24,140","$678,454 ","$22,000 ","$10,000 ","$10,000 ","$720,454 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$307,713 ","$206,166 ","$513,879 ","$9,683 ",$250 ,"$9,933 ","$14,000 ",$0 ,"$23,933 ",$0 ,"$537,812 ",$0 ,14,2,4,8,12,5,"34,988","6,028","108,508","23,191","1,917","7,229","2,366",194,2,3,5,50,"2,440",unavailable,Annual Count,"5,143",Annual Count,"108,508","41,016",463,"30,468",unavailable,unavailable,"138,976",unavailable,unavailable,unavailable,221,,,"5,470",,,27,,,105,,,100,,,0,,,11,"2,207",348,"5,575",110,"12,822",unavailable,Yes,"7,174",unavailable,unavailable,25,CA0145,19-20
THOUSAND OAKS LIBRARY,Ventura,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,1401 E. JANSS RD.,THOUSAND OAKS,91362,2134,(805) 449-2660,(805) 449-2660,http://www.tolibrary.org,56,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"126,484","45,271","8,999",1,1,0,2,"106,460","$7,855,532 ","$5,000 ",$0 ,"$174,489 ","$8,035,021 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$3,394,275 ","$1,861,497 ","$5,255,772 ","$257,404 ","$69,534 ","$326,938 ","$440,051 ","$48,588 ","$815,577 ","$1,677,408 ","$7,748,757 ",$0 ,88,16.13,16.13,38,54.13,9.34,"152,389","18,119","361,863","20,956","14,152","2,687","35,270","30,644",102,2,104,218,"3,661","387,250",Annual Count,"45,021",Annual Count,"504,989","287,882","6,572","176,113","221,174","397,287","681,102","902,276",215,338,563,557,6,"20,473","20,317",156,89,86,3,"1,580","1,563",17,230,211,19,"2,888","2,715",173,124,"4,398",882,"24,941",80,"1,956",816,Yes,"23,958","900,377","119,657",46,CA0169,19-20
TORRANCE PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,3301 TORRANCE BLVD.,TORRANCE,90503,5059,(310) 618-5950,(310) 781-7599,http://www.Library.TorranceCA.gov,21,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"145,546","93,211","15,281",1,5,0,6,"96,104","$6,793,860 ","$54,102 ","$5,000 ","$46,330 ","$6,899,292 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,337,838 ","$3,208,330 ","$5,546,168 ","$321,610 ","$70,449 ","$392,059 ","$159,904 ","$58,521 ","$610,484 ","$742,640 ","$6,899,292 ",$0 ,89,19,19,44.5,63.5,5.6,"129,536","11,595","428,962","8,718","38,338","2,448","39,748",0,16,3,19,563,"10,268","396,172",Annual Count,"19,117",Annual Count,"658,246","410,950","26,114","27,611","560,036","587,647","685,857","1,245,893",251,180,432,432,0,"14,651","14,651",0,18,18,0,129,129,0,148,148,0,"3,659","3,659",0,20,"3,503",598,"18,439",0,0,0,No,"36,538","480,438",unavailable,73,CA0146,19-20
TRINITY COUNTY FREE LIBRARY,Trinity,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,351 MAIN ST.,WEAVERVILLE,96093,1226,(530) 623-1373,(530) 623-1373,http://library.trinitycounty.org,"3,222.60",Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,"13,548","6,543","1,137",1,2,0,3,"11,442","$377,703 ","$23,102 ",$0 ,"$5,350 ","$406,155 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$137,748 ","$137,124 ","$274,872 ","$13,280 ",$325 ,"$13,605 ","$2,556 ",$0 ,"$16,161 ","$84,434 ","$375,467 ",$0 ,5,1,1,1.7,2.7,1,"11,895","1,393","42,059","25,367","1,396","12,168","5,483",32,2,3,5,42,"1,817","27,840",Annual Count,198,Annual Count,"31,727","7,583",unavailable,"2,965",unavailable,unavailable,"34,692",unavailable,54,150,34,34,0,749,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,749,0,0,0,Yes,"2,051","2,965","1,009",15,CA0147,19-20
TULARE COUNTY FREE LIBRARY,Tulare,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,200 W. OAK AVE.,VISALIA,93291,4993,(559) 713-2720,(559) 713-2703,http://www.tularecountylibrary.org,"4,824.30",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"352,488","48,432","8,920",1,16,0,17,"89,378","$5,136,496 ","$99,572 ","$19,721 ","$84,078 ","$5,339,867 ","$30,000 ",$0 ,"$90,000 ",$0 ,"$120,000 ","$1,805,783 ","$721,401 ","$2,527,184 ","$180,000 ","$15,000 ","$195,000 ","$30,000 ","$66,500 ","$291,500 ","$1,930,235 ","$4,748,919 ",$0 ,52,10,11,36,47,2.8,"105,217","15,717","273,447","13,854","9,547","4,799","11,869",0,72,3,75,206,"14,674","223,451",Annual Estimate Based on Typical Week(s),"36,953",Annual Count,"299,657","132,642","9,623","52,218","140,395","192,613","351,875","492,270","47,441","46,501","1,830","1,817",13,"21,573","21,408",165,161,161,0,"1,138","1,138",0,709,699,10,"5,162","5,078",84,421,"6,152","2,700","27,873",70,"1,416",533,Yes,"32,307","674,175","11,276",94,CA0148,19-20
TULARE PUBLIC LIBRARY,Tulare,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",San Joaquin Valley Library System,475 NORTH M STREET,TULARE,93274,3857,(559) 685-4505,(559) 685-4503,http://www.tularepubliclibrary.org,16,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"67,834","17,948","5,277",1,0,0,1,"31,408","$1,540,040 ",$0 ,$0 ,"$1,000 ","$1,541,040 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$584,403 ","$176,202 ","$760,605 ","$34,139 ","$6,528 ","$40,667 ","$23,370 ","$18,856 ","$82,893 ","$494,764 ","$1,338,262 ",$0 ,17,2,4,9.25,13.25,3.81,"14,871","3,793","73,438","19,499","7,957","7,617","5,657",262,36,4,40,79,"1,643","87,356",Annual Count,"10,061",Annual Count,"114,730","43,035","2,539","14,355","11,047","25,402","129,085","140,132","31,177","17,885",155,154,1,"3,884","3,866",18,5,5,0,6,6,0,120,117,3,"1,890","1,860",30,21,541,280,"5,780",19,291,153,Yes,"14,749","65,629","22,663",30,CA0149,19-20
TUOLUMNE COUNTY LIBRARY,Tuolumne,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,49-99 Cooperative Library System,480 GREENLEY RD.,SONORA,95370,5956,(209) 533-5507,(209) 694-2722,http://www.tuolumnecounty.ca.gov/library,"2,217.00",Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,"54,917","30,354","8,590",1,3,1,5,"25,725","$965,705 ","$26,117 ",$0 ,"$31,019 ","$1,022,841 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$433,139 ","$368,862 ","$802,001 ","$26,024 ","$8,304 ","$34,328 ","$11,076 ",$0 ,"$45,404 ","$118,303 ","$965,708 ",$0 ,16,2,2,8.5,10.5,2.5,"22,660","3,282","70,853","8,574","2,661","6,192","6,027",0,13,4,17,195,unavailable,"105,855",Annual Count,"3,314",Annual Count,"84,164","21,564",348,"5,997",251,"6,248","90,161","90,412","2,137","1,528",363,,,"11,506",,,0,,,0,,,171,,,"1,174",,,47,254,534,"12,680",0,0,0,Yes,"10,681","15,271",unavailable,27,CA0150,19-20
UPLAND PUBLIC LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,450 N. EUCLID AVE,UPLAND,91786,4732,(909) 931-4200,(909) 931-4205,https://www.ci.upland.ca.us/library,15,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,"78,814","26,704","4,361",1,0,0,1,"25,210","$1,302,819 ",$0 ,"$28,000 ",$0 ,"$1,330,819 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$67,593 ","$3,058 ","$70,651 ","$62,335 ","$14,316 ","$147,302 ","$1,330,819 ","$1,478,121 ",$0 ,17,4,4,11,15,4,"32,557","5,244","73,271","21,194","1,354","8,756","3,688","24,126",8,4,12,37,"1,924","166,140",Annual Count,"6,721",Annual Estimate Based on Typical Week(s),"153,149","84,166","1,646","23,435",unavailable,unavailable,"176,584",unavailable,"7,512","6,317",187,,,"12,420",,,103,,,"3,198",,,101,,,"3,874",,,24,"4,481",391,"19,492",0,0,unavailable,Yes,"11,226",unavailable,"10,877",19,CA0151,19-20
VENTURA COUNTY LIBRARY,Ventura,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Southern California Library Cooperative,5600 EVERGLADES ST. SUITE A,VENTURA,93003,6591,(805) 677-7150,(805) 648-2716,http://www.vencolibrary.org,"1,809.00",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"248,007","306,973","122,237",0,13,1,14,"89,509","$8,199,955 ","$492,823 ","$69,418 ","$417,626 ","$9,179,822 ",$0 ,$0 ,"$750,000 ",$0 ,"$750,000 ","$3,523,248 ","$2,046,116 ","$5,569,364 ","$476,683 ","$22,295 ","$498,978 ","$211,394 ","$60,767 ","$771,139 ","$2,251,366 ","$8,591,869 ",$0 ,90,14,14,53.32,67.32,3.17,"133,332","21,198","352,702","89,205","8,972","16,912","23,146","1,326",20,4,24,365,unavailable,"421,747",Annual Count,"25,043",Annual Count,"413,106","235,526","7,388","388,268","113,565","501,833","801,374","914,939",267,769,"1,853","1,708",145,"59,997","32,588","27,409",156,146,10,"1,400","1,374",26,497,467,30,"11,853","6,326","5,527",799,"13,867","2,506","73,250",3,160,77,No,"37,631","1,214,240","88,777",131,CA0152,19-20
VICTORVILLE CITY LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,15011 CIRCLE DRIVE,VICTORVILLE,92395,3914,(760) 245-4222,(760) 245-4222,https://www.victorvilleca.gov/library/,74,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,"126,432","41,168","3,400",1,0,0,1,"9,000","$885,763 ","$5,000 ",$0 ,"$74,546 ","$965,309 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$512,864 ","$33,743 ","$546,607 ","$44,468 ","$5,372 ","$49,840 ","$12,614 ",$0 ,"$62,454 ","$157,295 ","$766,356 ",$0 ,14,1,1,8.45,9.45,0,"18,012","3,262","41,907",495,"2,182","7,589","7,772",0,11,1,12,25,"2,170","110,121",Annual Count,"8,382",Annual Count,"80,306","44,168","1,606","6,424",unavailable,unavailable,"86,730",unavailable,"5,935","2,871",234,,,"3,154",,,13,,,191,,,83,,,460,,,14,"1,000",330,"3,805",4,unavailable,unavailable,No,"25,907",unavailable,unavailable,31,CA0207,19-20
WATSONVILLE PUBLIC LIBRARY,Santa Cruz,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,"275 MAIN ST., SUITE 100",WATSONVILLE,95076,4695,(831) 768-3400,(831) 768-3404,http://www.watsonvillelibrary.org,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"51,515","34,336","9,652",1,1,1,3,"46,600","$4,133,951 ","$44,700 ",$0 ,"$20,630 ","$4,199,281 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,353,639 ","$1,070,339 ","$3,423,978 ","$96,249 ","$12,059 ","$108,308 ","$36,095 ","$37,117 ","$181,520 ","$323,972 ","$3,929,470 ",$0 ,55,10,10,26,36,54,"35,319","5,082","106,627","1,731","2,728","8,262","5,822",80,39,1,40,125,unavailable,"175,429",Annual Estimate Based on Typical Week(s),"18,047",Annual Estimate Based on Typical Week(s),"133,935","52,480","33,000","15,781","4,804","20,585","149,716","154,520",291,766,71,,,"5,042",,,14,,,113,,,17,,,317,,,4,514,102,"5,472",25,"2,066",0,Yes,"19,809","46,760","7,707",66,CA0153,19-20
WHITTIER PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,7344 S. WASHINGTON AVE.,WHITTIER,90602,1778,(562) 567-9920,(562) 567-9946,https://www.whittierlibrary.org/,13,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"86,801","101,174","15,638",1,1,1,3,"52,326","$3,400,943 ",$0 ,"$17,300 ","$491,332 ","$3,909,575 ",$0 ,"$2,000,000 ",$0 ,$0 ,"$2,000,000 ","$1,892,936 ","$577,392 ","$2,470,328 ","$95,312 ","$20,946 ","$116,258 ","$102,374 ","$39,126 ","$257,758 ","$672,857 ","$3,400,943 ","$522,220 ",96,11.4,11.4,25.3,36.7,5,"92,099","10,462","238,680","4,322","13,762","1,742","9,575","24,133",24,4,28,325,unavailable,"375,385",Annual Count,"109,822",Annual Estimate Based on Typical Week(s),"171,990","93,009","3,440","17,574","360,552","378,126","189,564","550,116",29,18,746,744,2,"23,573","23,557",16,8,7,1,91,66,25,63,61,2,"1,979","1,954",25,434,"13,649",817,"25,643",94,"34,712",126,Yes,"13,819","205,818",unavailable,62,CA0154,19-20
WILLOWS PUBLIC LIBRARY,Glenn,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,201 N. LASSEN ST.,WILLOWS,95988,2794,(530) 934-5156,(530) 934-5156,http://www.cityofwillows.org,657,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,"13,643","12,411","2,993",1,2,0,3,"8,662","$283,827 ","$60,062 ",$0 ,$0 ,"$343,889 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$185,456 ","$37,584 ","$223,040 ","$11,293 ",$387 ,"$11,680 ","$5,000 ",$0 ,"$16,680 ","$49,107 ","$288,827 ",$0 ,9,0.5,0.5,5.5,6,0.5,"15,023","3,124","53,064","34,576",764,"13,338","1,892",194,0,0,0,13,"2,028","12,312",Annual Count,unavailable,unavailable,"20,208","4,102",121,"3,591",unavailable,unavailable,"23,799",unavailable,34,16,93,93,0,"1,695","1,695",0,0,0,0,0,0,0,14,14,0,132,132,0,2,70,107,"1,827",0,0,0,Yes,"2,933",unavailable,unavailable,16,CA0155,19-20
WOODLAND PUBLIC LIBRARY,Yolo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,250 FIRST ST.,WOODLAND,95695,3411,(530) 661-5980,(530) 661-5980,http://www.cityofwoodland.org/library,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,"60,742","41,852","6,525",1,0,0,1,"23,000","$2,102,761 ","$52,688 ","$4,629 ","$27,982 ","$2,188,060 ","$97,796 ",$0 ,$0 ,$0 ,"$97,796 ","$743,121 ","$457,952 ","$1,201,073 ","$95,401 ","$6,070 ","$101,471 ","$42,844 ","$22,150 ","$166,465 ","$677,382 ","$2,044,920 ","$97,796 ",36,4.25,4.25,10.27,14.52,4.5,"41,688","4,113","101,852","19,340","3,561","6,372","9,301",0,16,4,20,95,"1,836","160,302",Annual Count,unavailable,Annual Count,"184,804","78,001","4,521","20,328","1,062","21,390","205,132","206,194","28,750","16,112",567,442,125,"14,144","11,630","2,514",206,196,10,"2,304","2,149",155,63,63,0,"1,541","1,541",unavailable,52,"2,924",836,"17,989",125,unavailable,unavailable,No,"6,524","33,851","63,188",18,CA0156,19-20
YOLO COUNTY LIBRARY,Yolo,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,226 BUCKEYE ST.,WOODLAND,95695,2600,(530) 666-8005,(530) 757-5593,https://yolocountylibrary.org/,"1,023.50",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"160,963","63,805","10,699",0,7,0,7,"75,405","$7,257,350 ","$88,904 ","$30,185 ","$865,924 ","$8,242,363 ","$292,244 ",$0 ,$0 ,"$6,150 ","$298,394 ","$2,717,700 ","$1,671,900 ","$4,389,600 ","$276,317 ","$22,017 ","$298,334 ","$196,041 ","$41,336 ","$535,711 ","$1,769,126 ","$6,694,437 ","$441,741 ",145,17.01,17.01,31.62,48.63,4.14,"117,706","24,345","289,790","12,986","16,905","5,183","30,475",47,5,4,9,249,"9,836","476,869",Annual Count,"48,243",Annual Estimate Based on Typical Week(s),"734,484","293,008","33,130","192,975","23,660","216,635","927,459","951,119","7,159","9,495","1,452","1,410",42,"47,964","47,226",738,362,361,1,"6,893","6,883",10,665,611,54,"8,608","7,880",728,64,"2,101","2,479","63,465",12,499,580,No,"56,286","490,163","83,491",123,CA0157,19-20
