Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Closed Outlets Due to COVID-19,Public Services During COVID-19,Electronic Library Cards During COVID-19,Reference Service During COVID-19,Outside Service During COVID-19,External WiFi Access Added During COVID-19,External WiFi Access Increased During COVID-19,Staff Re-Assigned During COVID-19,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,Total # of Outlets,Number of kiosks,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Total Staff FTE,Total number of volunteers (count heads),Total hours volunteered in the reporting year,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Physical Audio Materials,# of Physical Video Materials,"Do you loan internet enabled devices? (Laptops, Chromebooks, etc.)",How many devices available for check-out and use outside the library?,Do you lend hot spots?,How many hot spots available for check-out and use outside the library?,Other Physical Items,Total Physical Items,# of Current Serial Subscriptions,Total Electronic Books,# of Downloadable Audio Materials,# of Downloadable Video Materials,Electronic Collections Locally Funded as of June 30,Electronic Collections State Funded,# of Electronic Collections,"Hours Open, All Outlets",Library Visits,Library visits reporting method,Reference Questions,Reference transactions reporting method,Do you charge any patrons late fines for physical materials?,Charge per day for Adults,For Young Adults,For Children,Physical Item Circulation,Circulation of Children's Materials,Circulation of Non English Materials,ILL loans to others,ILL loans received,"Circulation of internet-enabled devices (laptops, Chromebooks, etc)",Circulation of hotspots,Circulation of Other Physical Items,Circulation of Electronic Materials,Successful Retrieval of State-funded Electronic information (autofilled),Successful Retrieval of locally-funded electronic information,Successful Retrieval of Electronic Information,Total Annual Circulation,Total Electronic Content Use,Total Content Use,Are you able to report live programming and virtual programming separately?,# of Programs,Program Attendance,of Children's Programs (calculated),Program Attendance,# of Children's Programs for Ages 0-5 (calculated),"# of Children's Programs (ages 0-5) - Live, In-person","# of Children's Programs (ages 0-5) - Live, Virtual",Children's Program Attendance (calculated),"# of Children's Program Attendees (ages 0-5) - Live, In-person","# of Children's Program Attendees (ages 0-5) - Live, Virtual",# of Children's Programs for Ages 6-11,"# of Children's Programs (age 6-11) - Live, In-person","# of Children's Programs (age 6-11) - Live, Virtual",Children's Program Attendance,"# of Children's Program Attendees (age 6-11) - Live, In-person","# of Children's Program Attendees (age 6-11) - Live, Virtual",# of Young Adult Programs (calculated),"# of Young Adult Programs - Live, In-person","# of Young Adult Programs - Live, Virtual",Young Adult Program Attendance (calculated),"Young Adult Program Attendance - Live, In-person","Young Adult Program Attendance - Live, Virtual",# of Adult Programs (calculated),"# of Adult Programs - Live, In-person","# of Adult Programs - Live, Virtual",Adult Program Attendance (calculated),"Adult Program Attendance - Live, In-person","Adult Program Attendance - Live, Virtual",# of General Interest Programs (calculated),"# of General Interest Programs - Live, In-person","# of General Interest Programs - Live, Virtual",General Audience attendance (calculated),"General Audience Program Attendance - Live, In-person","General Audience Program Attendance - Live, Virtual","Of the above programs, how many were offsite?",Attendance at offsite programs,# recordings of program content,# views of recorded program content,CIPA Compliant,Annual Uses of Public Internet Computers,Reporting Method for Uses of Computers,Virtual Visits to the library website,Wireless Sessions Per Year,Reporting Method for Wifi Sessions,# of Internet Terminals,ILS System (choose from dropdown or enter other),# of self-directed activities,# of participants,Brief description of activities,FSCS ID,Year
SIERRA MADRE PUBLIC LIBRARY,Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,440 W. SIERRA MADRE BLVD.,SIERRA MADRE,91024,2399,(626) 355-7186,(626) 355-7186,www.cityofsierramadre.com/services/library,3,Yes,Yes,No,Yes,Yes,No,Yes,No,"10,865","8,212","1,471",1,0,0,1,0,"8,762","$561,096 ","$4,289 ",$0 ,"$45,982 ","$611,367 ","$20,209 ",$0 ,$0 ,"$36,600 ","$56,809 ","$379,483 ","$103,628 ","$483,111 ","$40,301 ","$7,643 ","$47,944 ","$16,624 ","$10,467 ","$75,035 ","$51,375 ","$609,521 ","$56,809 ",12,3,3,5.5,8.5,50,820,"17,924","1,676","43,249","2,393","3,315",Yes,0,No,0,234,"49,191",67,"27,809","13,197",0,7,19,26,"1,884","42,079",Annual Count,"4,626",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"94,156","66,149",709,0,0,0,0,"1,010","9,460","1,004","22,494","23,498","103,616","32,958","127,114",Yes,435,"9,833",301,"7,982",131,120,11,"3,385","3,253",132,170,162,8,"4,597","4,283",314,45,45,0,222,222,0,89,75,14,"1,629","1,455",174,0,0,0,0,0,0,154,"4,076",6,256,No,"1,436",Annual Count,-1,"19,657",Annual Estimate Based on Typical Week(s),5,Apollo (Biblionix),55,"1,305","In-Library Scavenger Hunts, Community Arts Projects, Walk This Way Story Adventure, Monthly Passive Programs ",CA0134,21-22
SIGNAL HILL PUBLIC LIBRARY,Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,1780 EAST HILL ST.,SIGNAL HILL,90755,3632,(562) 989-7323,(562) 989-7323,http://www.cityofsignalhill.org/library,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"11,597","1,959","2,860",1,0,0,1,0,"14,000","$552,317 ",$0 ,$0 ,$0 ,"$552,317 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$365,719 ","$92,164 ","$457,883 ","$37,400 ","$1,000 ","$38,400 ","$2,006 ","$22,000 ","$62,406 ","$12,000 ","$532,289 ",$0 ,14,1,1,1.46,2.46,9,99,"8,715","1,610","22,327",663,"2,372",Yes,0,No,0,15,"25,377",61,"39,845","10,340",268,0,16,16,"1,968","59,578",Annual Count,"2,641",Annual Count,Yes,$0.30 ,$0.15 ,$0.15 ,"36,525","23,904","1,617",224,88,0,0,54,"2,339","1,364",0,"1,364","38,864","3,703","40,228",Yes,176,"3,453",74,"1,638",42,42,0,882,882,0,32,32,0,756,756,0,49,49,0,541,541,0,32,32,0,692,692,0,21,21,0,582,582,0,1,122,-1,-1,Yes,-1,Annual Count,"8,214","15,842",Annual Count,23,Apollo (Biblionix),5,92,Take home DIY build a bear Take home Dr Seuss Birthday celebration craft African American Celebration DIY take home crafts,CA0166,21-22
SIMI VALLEY PUBLIC LIBRARY,Ventura,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,2969 TAPO CANYON RD,SIMI VALLEY,93063,2117,(805) 526-1735,(805) 526-1735,www.simivalleylibrary.org,41,No,Yes,No,Yes,No,Yes,Yes,No,"124,985","33,549","4,334",1,0,0,1,0,"35,000","$2,373,831 ","$4,095 ",$0 ,"$30,000 ","$2,407,926 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$747,672 ","$315,216 ","$1,062,888 ","$87,087 ","$3,693 ","$90,780 ","$144,641 ","$15,314 ","$250,735 ","$1,092,588 ","$2,406,211 ",$0 ,20,4,4,12.8,16.8,83,"5,112.00","50,167","11,664","112,623","3,170","11,162",Yes,7,Yes,7,310,"127,265",38,"850,138","734,655","28,358",6,18,24,"2,774","112,336",Annual Count,"4,944",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"309,132","235,866","2,646","9,283","22,541",59,59,913,"53,262","13,598","8,042","21,640","362,394","74,902","384,034",No,312,"7,210",173,"4,385",161,161,0,"3,383","3,383",0,12,12,0,"1,002","1,002",0,31,18,13,417,390,27,103,92,11,"1,434","1,383",51,5,5,0,974,974,0,15,894,1,75,Yes,"8,075",Annual Count,"86,501","128,680",Annual Count,28,Polaris (Innovative),46,"3,530","""Guess How Many"" themed-jars; NanoWrimo prompts; Take Home Activity Kits (all ages); ""Blind Date with a Book"" checkouts; themed child/adult coloring sheets.",CA0211,21-22
SISKIYOU COUNTY FREE LIBRARY,Siskiyou,County Library General Fund,"County or Equivalent, entirety",Member of a Federation or Cooperative,County/Parish,NorthNet Library System,719 FOURTH ST.,YREKA,96097,3302,(530) 842-8807,(530) 842-8807,http://www.siskiyoulibrary.info,"6,267.00",No,Yes,No,No,Yes,No,No,No,"43,830","8,455","1,905",1,8,0,9,0,"30,252","$396,869 ","$115,730 ","$177,019 ","$18,403 ","$708,021 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$194,015 ","$140,024 ","$334,039 ","$57,310 ",$0 ,"$57,310 ","$12,434 ","$11,087 ","$80,831 ","$470,170 ","$885,040 ",$0 ,4,2,2,2,4,23,"9,464.00","24,937","3,172","81,396","4,396","12,424",No,0,No,0,0,"98,216",260,"68,121","19,770",299,3,14,17,"9,779",-1,Annual Estimate Based on Typical Week(s),-1,Annual Estimate Based on Typical Week(s),Yes,$0.20 ,$0.20 ,$0.20 ,"106,230","26,818",67,1,9,0,0,0,"22,981",421,"1,049","1,470","129,211","24,451","130,681",No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,Yes,-1,Annual Count,-1,-1,Annual Estimate Based on Typical Week(s),63,Koha (Equinox),-1,-1,N/A,CA0135,21-22
SOLANO COUNTY LIBRARY,Solano,County Library with Dedicated Tax,"County or Equivalent, remainder excluding AEs of contained geographies",Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,1150 KENTUCKY ST.,FAIRFIELD,94533,9988,(707) 784-1500,(866) 572-7587,http://solanolibrary.com/,631,No,No,Yes,No,Yes,No,No,No,"420,585","146,213","61,877",0,9,0,9,0,"146,774","$26,380,419 ","$143,362 ",$271 ,"$156,640 ","$26,680,692 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$8,676,321 ","$5,487,066 ","$14,163,387 ","$535,410 ","$50,241 ","$585,651 ","$830,012 ","$203,796 ","$1,619,459 ","$6,621,503 ","$22,404,349 ","$1,015,810 ",156,40.63,40.63,88.6,129.23,419,"12,499.00","155,582","26,844","352,075","34,157","75,607",Yes,54,Yes,161,450,"462,289",710,"170,010","126,670","20,286",18,14,32,"26,724","552,804",Annual Count,"62,040",Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,"1,501,900","666,354","13,450","15,333","5,673",373,"1,491","12,842","316,966","25,754","112,611","138,365","1,818,866","455,331","1,957,231",No,"2,084","59,988","1,341","41,385",673,673,0,"17,543","17,543",0,668,668,0,"23,842","23,842",0,180,180,0,"4,305","4,305",0,563,378,185,"14,298","12,818","1,480",0,0,0,0,0,0,53,"1,590",8,"12,948",No,"72,275",Annual Count,"709,208","55,605",Annual Count,224,CARLX (TLC),22,700,Activities include take-and-make craft kits during summer reading ,CA0136,21-22
SONOMA COUNTY LIBRARY,Sonoma,Joint Powers Authority,"County or Equivalent, entirety",Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,6135 STATE FARM DR.,ROHNERT PARK,94928,2147,(707) 545-0831,(707) 308-3020,http://sonomalibrary.org,"1,608.00",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"482,404","255,227","86,081",1,14,0,15,0,"199,047","$39,056,176 ","$185,550 ","$33,895 ","$307,111 ","$39,582,732 ","$810,392 ","$500,000 ","$40,571 ","$737,510 ","$2,088,473 ","$14,493,993 ","$7,110,488 ","$21,604,481 ","$774,941 ","$66,010 ","$840,951 ","$2,392,256 ","$697,207 ","$3,930,414 ","$7,150,766 ","$32,685,661 ","$1,588,473 ",264,76.5,76.5,138.85,215.35,164,"4,468.00","260,621","35,558","636,151","25,812","67,269",Yes,103,Yes,393,"2,260","731,492",787,"378,530","256,822","106,994",117,22,139,"31,113","912,925",Annual Count,"113,568",Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,"2,429,576","1,155,670","76,352","97,110","132,736",283,919,"29,742","1,138,753","424,343","716,200","1,140,543","3,568,329","2,279,296","4,708,872",No,"2,508","66,847","1,015","30,853",505,256,249,"13,497","10,783","2,714",510,304,206,"17,356","14,541","2,815",424,253,171,"4,161","3,486",675,791,360,431,"8,821","6,481","2,340",278,166,112,"23,012","19,280","3,732",534,"39,570",49,"2,096",No,"105,620",Annual Count,"2,593,539","356,560",Annual Count,386,Horizon (SirsiDynix),394,"22,331","Themed craft kits for children, writing activities for adults, black out poetry for teens, and more. ",CA0137,21-22
SOUTH PASADENA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,1100 OXLEY ST.,SOUTH PASADENA,91030,3198,(626) 403-7330,(626) 403-7350,www.southpasadenaca.gov/library,3,No,Yes,Yes,Yes,Yes,No,No,No,"26,580","15,446","3,305",1,0,0,1,0,"24,500","$1,840,386 ",$1 ,"$12,201 ",$0 ,"$1,852,588 ","$21,500 ",$0 ,$0 ,$0 ,"$21,500 ","$994,636 ","$549,670 ","$1,544,306 ","$73,048 ","$6,959 ","$80,007 ","$52,788 ","$12,713 ","$145,508 ","$138,792 ","$1,828,606 ","$10,524 ",38,7.68,7.68,10.2,17.88,51,"4,142.00","41,262","5,690","99,001","8,497","10,269",No,0,No,0,14,"117,781",67,"48,111","12,422","29,548",7,20,27,"2,354","124,332",Annual Count,"19,944",Annual Count,No,,,,"278,946","180,360","2,859",18,0,0,0,9,"39,116","3,278","41,585","44,863","318,062","83,979","362,925",Yes,219,"8,528",168,"6,632",78,78,0,"3,525","3,525",0,90,90,0,"3,107","3,107",0,24,21,3,187,153,34,22,12,10,994,891,103,5,5,0,715,715,0,55,"1,725",-1,-1,No,"3,149",Annual Count,-1,-1,,15,Symphony (SirsiDynix),16,"1,255",Take & Make craft kits,CA0138,21-22
SOUTH SAN FRANCISCO PUBLIC LIBRARY,San Mateo,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,840 W. ORANGE AVE.,SOUTH SAN FRANCISCO,94080,3125,(650) 829-3860,(650) 829-3860,http://www.ssf.net/library,10,No,No,No,No,No,No,No,No,"64,492","32,573","8,756",1,2,0,3,0,"45,006","$6,453,896 ","$129,696 ","$117,971 ","$255,417 ","$6,956,980 ","$8,167,519 ",$0 ,$0 ,$0 ,"$8,167,519 ","$3,237,690 ","$1,738,916 ","$4,976,606 ","$138,510 ","$6,781 ","$145,291 ","$55,758 ","$60,415 ","$261,464 ","$1,283,206 ","$6,521,276 ","$42,312,624 ",82,14.06,14.06,24.09,38.15,64,"2,404.00","40,187","2,784","102,562","11,955","22,898",No,0,No,0,283,"137,698",209,"59,348","30,973","32,926",28,19,47,"6,368","166,841",Annual Count,"9,672",Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,"414,628","184,906","13,762","79,939","36,155",0,0,216,"42,024","13,401","7,366","20,767","456,652","62,791","477,419",Yes,"1,020","28,025",464,"22,148",204,113,91,"6,714","4,707","2,007",260,203,57,"15,434","13,671","1,763",105,92,13,714,597,117,418,241,177,"4,224","2,521","1,703",33,32,1,939,887,52,340,"14,473",56,"7,383",No,"17,149",Annual Count,"157,594","277,935",Annual Count,132,Sierra (Innovative),83,"4,789","Of the 83 self-directed activities, 4 of which were for Adults, 4 of which were for the General Interests, 6 of which were for Children ages 0-5, and 69 of which were for Children ages 6-11. Below is a list of the types of programs which were provided: .Financial literacy kits .Make and Take kits .Craft kits .Scavenger hunts .Book club kits .Take home printed recipes .Mental health playlist .Winter Reading Challenge activity packets .Summer Reading Challenge activity packets",CA0139,21-22
ST. HELENA PUBLIC LIBRARY,Napa,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,1492 LIBRARY LANE,ST. HELENA,94574,1143,(707) 963-5244,(707) 963-5244,https://www.shpl.org/,4,No,Yes,Yes,Yes,No,No,No,No,"5,437","4,651",692,1,0,0,1,0,"14,445","$1,019,271 ","$8,832 ",$0 ,"$202,462 ","$1,230,565 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$459,193 ","$243,766 ","$702,959 ","$36,082 ","$5,778 ","$41,860 ","$52,924 ","$11,329 ","$106,113 ","$192,657 ","$1,001,729 ",$0 ,12,2,2,4.4,6.4,4,819,"19,326","1,240","44,870","5,553","9,774",Yes,5,Yes,5,0,"60,197",54,"152,371","24,930","6,348",19,16,35,"2,227","45,142",Annual Count,"8,164",Annual Estimate Based on Typical Week(s),No,,,,"112,739","49,116","2,652","21,206","13,799",10,36,0,"40,768",914,"902,962","903,876","153,507","944,644","1,057,383",Yes,185,"3,270",152,"2,512",62,62,0,"1,083","1,083",0,90,90,0,"1,429","1,429",0,6,6,0,72,72,0,22,22,0,440,440,0,5,5,0,246,246,0,52,874,0,0,No,"1,571",Annual Count,"48,136",-1,,14,CARLX (TLC),8,334,"Kits included an Owl Pellet Dissection Kit, a Candy Sushi Kit, a Mocktail Craft Kit, and various art kits.",CA0141,21-22
STANISLAUS COUNTY FREE LIBRARY,Stanislaus,County Library General Fund,"County or Equivalent, entirety",Member of a Federation or Cooperative,County/Parish,49-99 Cooperative Library System,1500 I ST.,MODESTO,95354,1166,(209) 558-7801,(209) 558-7814,http://stanislauslibrary.org,"1,521.00",No,Yes,Yes,Yes,Yes,No,No,Yes,"549,466","322,607","22,884",1,12,0,13,0,"157,267","$15,608,994 ","$416,862 ","$440,210 ","$494,511 ","$16,960,577 ","$200,000 ",$0 ,$0 ,$0 ,"$200,000 ","$4,529,967 ","$2,774,305 ","$7,304,272 ","$365,573 ","$7,843 ","$373,416 ","$244,040 ","$49,119 ","$666,575 ","$4,571,126 ","$12,541,973 ","$919,928 ",119,17,17,86.7,103.7,55,"2,289.60","250,767","32,032","560,880","14,459","36,427",Yes,31,Yes,57,167,"611,933",114,"721,507","515,489","25,261",18,18,36,"21,398","498,319",Annual Count,"98,462",Annual Estimate Based on Typical Week(s),Yes,$0.25 ,$0.25 ,$0.25 ,"1,098,140","605,485","30,027","11,039","6,197",0,89,654,"224,439","9,318","13,091","22,409","1,322,579","246,848","1,344,988",Yes,808,"19,250",635,"17,459",164,158,6,"3,499","3,420",79,471,441,30,"13,960","13,810",150,23,23,0,509,509,0,150,126,24,"1,282","1,081",201,0,0,0,0,0,0,22,"2,070",51,163,Yes,"31,426",Annual Count,"2,645,532","62,845",Annual Count,136,Other (please list),114,"4,677","Craft bags as take home experiences included various S.T.E.A.M or S.T.E.M (Science, Technology, Engineering, Art, and Math) themed activities such as slime, LED pop-up circuitry cards, chalk art, volcano science, sun printing, origami, Tangrams, modeling clay, harmonicas, corn husk dolls, etc. Other take home experiences included crafts that were tied to specific book selections or library programs such as the James Webb Space Telescope.",CA0140,21-22
STOCKTON-SAN JOAQUIN COUNTY PUBLIC LIBRARY,San Joaquin,Municipal Library,"County or Equivalent, remainder excluding AEs of contained geographies",Member of a Federation or Cooperative,City/County,49-99 Cooperative Library System,605 N. EL DORADO ST.,STOCKTON,95202,1999,(209) 937-8362,(209) 937-8221,http://www.ssjcpl.org,"1,409.00",No,Yes,Yes,Yes,Yes,No,Yes,No,"717,728","130,286","31,446",1,15,1,17,0,"196,170","$14,860,061 ","$39,752 ",$0 ,"$128,490 ","$15,028,303 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$5,129,279 ","$2,966,263 ","$8,095,542 ","$638,766 ","$44,230 ","$682,996 ","$495,767 ","$40,979 ","$1,219,742 ","$4,836,456 ","$14,151,740 ",$0 ,160,26,26,62,88,122,"2,770.00","247,461","40,374","528,783","25,214","34,889",Yes,56,Yes,56,"7,966","596,852",629,"28,791","26,747","7,999",51,14,65,"28,692","425,695",Annual Count,"61,020",Annual Count,Yes,$0.25 ,$0.10 ,$0.10 ,"628,092","565,579","14,401","7,567","12,304",259,-1,35,"155,404","5,009","22,278","27,287","783,496","182,691","810,783",No,"2,025","48,214","1,186","28,986",326,326,0,"7,132","7,132",0,860,860,0,"21,854","21,854",0,192,192,0,"1,925","1,925",0,429,429,0,"2,563","2,563",0,218,218,0,"14,740","14,740",0,218,"14,740",611,"52,026",Yes,"43,925",Annual Count,"439,505",-1,,209,Symphony (SirsiDynix),-1,-1,,CA0142,21-22
SUNNYVALE PUBLIC LIBRARY,Santa Clara,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,665 W. OLIVE AVE.,SUNNYVALE,94086,7622,(408) 730-7314,(408) 730-7300,http://www.sunnyvalelibrary.org,25,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"156,234","119,929","10,311",1,0,0,1,0,"60,800","$9,209,008 ","$88,316 ",$0 ,"$24,415 ","$9,321,739 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,910,648 ","$2,003,012 ","$4,913,660 ","$285,369 ","$12,592 ","$297,961 ","$430,964 ","$63,502 ","$792,427 ","$3,502,921 ","$9,209,008 ",$0 ,46.89,19.26,19.26,26.64,45.9,72,562.9,"105,877","8,437","238,217","11,467","28,478",Yes,44,Yes,75,325,"278,487",324,"897,215","516,943","47,512",61,19,80,"3,320","263,176",Annual Count,"64,246",Annual Estimate Based on Typical Week(s),No,,,,"1,190,480","780,988","75,097","11,366","5,818",527,625,"3,211","207,889","41,502","561,627","603,129","1,398,369","811,018","2,001,498",Yes,474,"13,878",191,"6,365",113,112,1,"3,287","2,933",354,78,70,8,"3,078","1,715","1,363",36,35,1,690,523,167,206,45,161,"3,739",768,"2,971",41,37,4,"3,084","2,852",232,13,"2,398",5,545,No,-1,,"603,651",-1,,55,Sierra (Innovative),27,"2,291","Penpals, writing messages of kindness, writing contests, scavenger hunts, Kindness bingo, personalized readers' advisory requests, take and make crafts",CA0143,21-22
SUTTER COUNTY LIBRARY,Sutter,County Library General Fund,"County or Equivalent, entirety",Member of a Federation or Cooperative,County/Parish,NorthNet Library System,750 FORBES AVE.,YUBA CITY,95991,3891,(530) 822-7137,-1,http://www.co.sutter.ca.us/doc/government/depts/library/library,681,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"99,145","41,631","8,217",1,2,0,3,0,"25,132","$1,331,979 ","$117,491 ","$328,242 ","$57,802 ","$1,835,514 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$723,755 ","$510,679 ","$1,234,434 ","$43,435 ",$400 ,"$43,835 ","$1,200 ",$0 ,"$45,035 ","$556,045 ","$1,835,514 ",$0 ,13,2,2,11,13,5,576,"34,777","3,027","74,367",761,"4,574",No,0,No,0,0,"79,702",,"52,056","9,844",0,0,14,14,"3,000","19,200",Annual Estimate Based on Typical Week(s),-1,Annual Estimate Based on Typical Week(s),Yes,$0.25 ,$0.25 ,$0.05 ,"186,326","73,772",472,"44,732","44,901",3,2,0,"21,161",400,466,866,"207,487","22,027","208,353",Yes,724,"11,609",74,"3,547",29,29,0,"1,756","1,756",0,45,45,0,"1,791","1,791",0,4,4,0,162,162,0,634,630,4,"5,156","5,136",20,12,12,0,"2,744","2,744",0,594,"4,692",0,0,Yes,-1,Annual Estimate Based on Typical Week(s),"32,650",-1,,43,Sierra (Innovative),"3,744",650,Handed out craft bags and at main & 2 branches.,CA0144,21-22
TEHAMA COUNTY LIBRARY,Tehama,County Library General Fund,"County or Equivalent, entirety",Member of a Federation or Cooperative,County/Parish,NorthNet Library System,545 DIAMOND AVE.,RED BLUFF,96080,4302,(530) 527-0604,(530) 527-0604,http://www.tehamacountylibrary.org,"2,951.00",Yes,Yes,Yes,Yes,Yes,No,Yes,No,"65,052","14,192","2,908",1,2,0,3,0,"24,140","$785,616 ","$32,708 ",$0 ,"$16,000 ","$834,324 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$355,593 ","$247,814 ","$603,407 ","$9,683 ",$250 ,"$9,933 ","$10,000 ",$0 ,"$19,933 ",$0 ,"$623,340 ",$0 ,10,2,2,6,8,0,0,"18,470","2,526","53,398","1,960","2,673",Yes,37,Yes,31,0,"58,031",50,"81,229","19,770","30,299",2,17,19,"2,440",-1,Annual Count,"2,372",Annual Count,No,,,,"73,795",-1,-1,25,0,-1,-1,0,-1,361,-1,361,,361,"74,156",No,31,"5,612",24,"3,860",12,11,1,"1,930",730,"1,200",12,11,1,"1,930",730,"1,200",2,1,1,"1,500",300,"1,200",2,1,1,150,50,100,3,2,1,102,60,42,10,200,2,"1,300",Yes,"5,930",Annual Count,-1,-1,Annual Estimate Based on Typical Week(s),25,Library Solution (TLC),-1,-1,Story Walk and craft bags. ,CA0145,21-22
THOUSAND OAKS LIBRARY,Ventura,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,1401 E. JANSS RD.,THOUSAND OAKS,91362,2134,(805) 449-2660,(805) 449-2660,http://www.tolibrary.org,56,No,No,Yes,No,Yes,Yes,No,Yes,"124,592","43,035","7,583",1,1,0,2,1,"106,460","$8,243,679 ",$0 ,$0 ,"$83,107 ","$8,326,786 ","$150,243 ",$0 ,$0 ,$0 ,"$150,243 ","$3,642,804 ","$2,000,309 ","$5,643,113 ","$276,671 ","$17,904 ","$294,575 ","$480,262 ","$38,664 ","$813,501 ","$1,805,346 ","$8,261,960 ","$150,243 ",87,19,19,37.25,56.25,318,"16,594.00","156,866","19,031","332,149","14,293","32,676",Yes,12,Yes,33,722,"379,840","2,039","18,952","5,174","35,755",79,22,101,"5,310","305,349",Annual Count,"40,140",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"690,326","453,320","9,442",0,0,53,"1,324",0,"184,823","16,903","353,043","369,946","875,149","554,769","1,245,095",Yes,688,"10,512",428,"8,357",121,121,0,"3,324","3,324",0,307,213,94,"5,033","3,908","1,125",65,22,43,641,330,311,195,148,47,"1,514","1,019",495,0,0,0,0,0,0,56,"2,992",22,299,Yes,"13,158",Annual Count,"931,340","78,660",Annual Count,45,Sierra (Innovative),111,"18,189","Take and make crafts, library challenges, and other passive activities.",CA0169,21-22
