Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,ILL Period # of weeks,ILL Photocopy free up to 10 pages?,Copy Fee,Size Square Mile,Population of The Legal Service Area,Population of Children Ages Under 5,Population of Children Ages 5-14,Population Age 0-14,Population Over 14 Years,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,# of Stations,Total # of Outlets,Total # of Service Points,Library Visits,"Hours Open, All Outlets",FTE Volunteers,Total persons employed,FTE Special Professionals,# of Librarian FTEs,FTE All other paid staff,FTE Other,FTE Library Technical Assistants,# of ALA MLS Librarian FTEs,Staff FTE,Total Operating Income,Local Government Income,State Income,Federal Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Other Operating Income,Literacy Income,Total Operating Expenditures,Total Collection Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Print Materials Expenditures,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Total Capital Expenditures,All Other Operating Expenditures,Operating Expenditures on Preservation,Expenditures on Children's Materials,Expenditures on Adult Literacy Programs,Books Children Held,Books Young Adult Held,Government Documents,Children's Audio Materials,# of Physical Audio Materials in Collection,Children's Video Materials,# of Physical Video Materials in Collection,# of Current Serial Subscriptions,Book Titles Added,# of Electronic Books in Collection,# of Electronic Collections in Collection,# of Electronic Collections through State Funding in Collection,Total Print Materials Held,# of Downloadable Audio Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,Children's Books Added,Books Added,Library Materials in Electronic Format,Number of Adult Books Held,Total Print Materials Held,Total Collection,Physical Item Circulation,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Electronic Content Use,Total Circulation,Total Collection Use,ILL loans to others,ILL loans received,Reference Questions,Total # of Programs,# of Children's Programs,# of Young Adult Programs,Young Adult Program Attendance,Children's Program Attendance,Total Program Attendance,# of Pre School Programs,Pre-School Program Attendance,# of School Aged Programs,School Aged Program Attendance,# of Adult Programs,Adult Program Attendance,Beginning Salary for Director,Final Salary for Director,Beginning Salary for Assistant Director,Final Salary for Assistant Director,Beginning Salary for Chief Library Division,Final Salary for Chief Library Division,Beginning Salary for Branch Librarian,Final Salary for Branch Librarian,Beginning Salary for Entry Level Librarian,Final Salary for Entry Level Librarian,Beginning Salary for Journeyman Librarian,Final Salary for Journeyman Librarian,Beginning Salary for Library Tech Assistant,Final Salary for Library Tech Assistant,Beginning Salary for Manager of Special Library Service (non-MLS),Final Salary for Manager of Special Library Service (non-MLS),Beginning Salary for Clerk,Final Salary for Clerk,Library Utilizes CA Teleconnect Fund,Library Utilizes the E-Rate Program,CIPA Compliant,Annual Uses of Public Internet Computers,# of Internet Terminals,Virtual Visits to the library website,Library use RFID,FSCS ID,Fiscal Year
STANISLAUS COUNTY FREE LIBRARY,Stanislaus,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,49-99 Cooperative Library System,1500 I ST.,MODESTO,95354,1166,2095587801,(209) 558-7814,http://stanislauslibrary.org,3,No,N/A,"1,521.00","555,624","38,783","82,818","121,601","434,023","436,719","36,139",1,5,0,7,6,13,"1,696,673","29,016",5.6,172,10.7,20,122.8,23,89.1,17,142.8,"$12,139,779 ","$11,168,874 ","$227,751 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$743,154 ","$227,751 ","$12,935,339 ","$791,807 ","$488,000 ","$6,778 ","$223,783 ","$73,246 ","$494,778 ","$5,196,681 ","$2,474,186 ","$7,670,867 ","$131,173 ","$4,472,665 ","$37,614 ","$167,010 ","$325,188 ","260,031","31,753",0,"3,825","15,675","12,368","34,605",369,"15,025","296,716",24,0,"643,719","340,171","37,330",24,"19,696","43,431","296,716","351,935","643,719","991,108","1,548,866","806,110","39,739","118,163","13,484","131,647","1,667,029","1,680,513","5,700","4,486","139,503","4,135","3,441",285,"5,188","114,049","126,655","1,797","43,366","1,644","70,683",409,"7,418","$8,158 ","$12,239 ",$0 ,$0 ,"$5,097 ","$7,645 ","$5,021 ","$6,104 ","$3,872 ","$4,706 ","$4,300 ","$5,227 ","$2,605 ","$3,501 ","$5,097 ","$8,645 ","$1,932 ","$2,348 ",Yes,Yes,Yes,"154,089",143,"1,630,191",Yes,CA0140,17-18
STOCKTON-SAN JOAQUIN COUNTY PUBLIC LIBRARY,San Joaquin,Municipal Library,County/Parish (most nearly),Member of a Federation or Cooperative,City/County,49-99 Cooperative Library System,605 N. EL DORADO ST.,STOCKTON,95202,1999,2099378362,(209) 937-8221,http://www.ssjcpl.org,3,No,,"1,409.00","691,623","51,917","114,007","165,924","525,699","197,165","35,672",1,12,1,0,14,14,"761,815","24,200",6,172,2,23,52,25,25,22,75,"$12,818,765 ","$12,451,622 ","$31,116 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$336,027 ","$31,116 ","$12,405,186 ","$1,275,584 ","$711,327 ","$58,900 ","$413,309 ","$92,048 ","$770,227 ","$4,528,497 ","$2,094,199 ","$6,622,696 ","$63,215 ","$4,506,906 ",$0 ,"$255,298 ","$190,126 ","278,238","43,807","3,890","6,056","27,658","11,182","44,378",935,"39,700","5,855",47,0,"686,588","4,205","1,622",47,"23,336","47,493","5,855","364,543","690,478","769,351","996,021","713,788","25,724","94,593","94,013","188,606","1,090,614","1,184,627","13,315","16,575","142,698","4,171","2,826",552,"4,052","77,489","88,207",777,"30,792","2,049","46,697",793,"6,666","$11,649 ","$14,866 ","$8,490 ","$10,899 ","$5,406 ","$6,941 ","$4,988 ","$6,404 ","$4,084 ","$5,244 ",,,"$3,213 ","$4,778 ","$6,973 ","$8,953 ","$2,882 ","$4,076 ",Yes,Yes,Yes,"124,726",200,"479,758",No,CA0142,17-18
SUNNYVALE PUBLIC LIBRARY,Santa Clara,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,665 W. OLIVE AVE.,SUNNYVALE,94086,7622,4087307314,(408) 730-7300,http://www.sunnyvalelibrary.org,3,No,,25,"153,389","11,973","17,443","29,416","123,973","120,303","8,736",1,0,0,0,1,1,"657,343","3,294",1.27,85,1,19.26,31.24,30.24,0,18.26,50.5,"$8,220,961 ","$7,955,462 ",$0 ,$0 ,"$9,639,068 ",$0 ,$0 ,$0 ,"$9,639,068 ","$265,499 ",$0 ,"$7,955,462 ","$761,988 ","$415,406 ","$16,325 ","$203,696 ","$126,561 ","$431,731 ","$2,843,888 ","$1,343,180 ","$4,187,068 ",$0 ,"$3,006,406 ",$0 ,"$203,290 ",$0 ,"105,465","8,804","23,642","3,622","14,716","6,199","31,226",227,"19,241","384,785",48,0,"236,335","302,747","49,647",48,"16,913","32,554","384,785","122,066","259,977","690,979","2,001,329","1,209,964","118,964","106,458","266,821","373,279","2,107,787","2,374,608","9,036","10,035","62,634",978,443,140,"3,619","39,605","56,753",360,"32,569",83,"7,036",395,"13,529","$19,542 ","$23,450 ","$10,128 ","$11,915 ",$0 ,$0 ,"$8,369 ","$9,846 ",$0 ,$0 ,"$5,725 ","$7,307 ","$4,668 ","$5,958 ","$7,176 ","$8,442 ","$5,612 ","$7,163 ",No,Yes,No,"78,789",55,"205,443",Yes,CA0143,17-18
SUTTER COUNTY LIBRARY,Sutter,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,750 FORBES AVE.,YUBA CITY,95991,3891,5308227137,-1,http://www.co.sutter.ca.us/doc/government/depts/library/library,4,Yes,,681,"97,238","7,250","26,023","33,273","63,965","43,942","11,413",1,0,0,2,1,3,"252,000","4,136",6,15,3,1,11,1,7,1,12,"$1,563,345 ","$1,235,613 ","$33,034 ","$201,285 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$93,413 ","$33,034 ","$1,560,172 ","$68,208 ","$54,098 ","$5,100 ","$4,810 ","$4,200 ","$59,198 ","$714,646 ","$387,197 ","$1,101,843 ",$0 ,"$390,121 ","$1,015 ","$23,016 ","$234,319 ","37,396","4,089",73,93,"1,072",556,"4,002",89,"5,010","6,041",4,0,"126,248","2,617",0,4,"1,964","5,647","6,041","84,763","126,321","137,529","315,626","161,202",745,"6,041",524,"6,565","321,667","322,191","38,423","40,100","1,564","1,603",286,581,"4,171","21,498","62,675",194,"10,566",92,"10,932",736,"37,006","$6,775 ","$9,599 ",,,,,,,,,"$4,087 ","$5,863 ","$3,331 ","$3,929 ","$4,087 ","$5,863 ","$2,398 ","$3,468 ",Yes,Yes,Yes,"113,900",48,"33,684",Yes,CA0144,17-18
TEHAMA COUNTY LIBRARY,Tehama,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,545 DIAMOND AVE.,RED BLUFF,96080,4302,5305270604,(530) 527-0604,http://www.tehamacountylibrary.org,6,No,,"2,951.00","64,039","4,156","11,187","15,343","48,696","25,813","5,597",1,0,0,2,1,3,,"3,172",3,8,2,4,6,2,2,1,10,"$680,448 ","$668,448 ","$12,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$469,697 ","$11,433 ","$9,683 ",$250 ,"$1,500 ",$0 ,"$9,933 ","$275,960 ","$182,304 ","$458,264 ",$0 ,$0 ,$0 ,$0 ,$0 ,"18,300","3,582",20,0,"2,326",176,"3,393",50,"2,052","12,663",2,0,"148,700","3,421",1,2,723,"2,052","12,663","126,818","148,720","167,154","151,122","27,348",339,"3,774",,"3,774","154,896","154,896",1,305,"5,702",344,211,58,245,"5,539","8,298",151,"3,299",60,"2,240",75,"2,514","$5,843 ","$7,172 ",,,,,,,"$2,941 ","$3,581 ",,,"$2,941 ","$3,581 ","$66,636 ","$69,968 ","$2,030 ","$2,354 ",Yes,Yes,Yes,"8,128",25,,Yes,CA0145,17-18
THOUSAND OAKS LIBRARY,Ventura,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,1401 E. JANSS RD.,THOUSAND OAKS,91362,2199,8054492660,(805) 449-7912,http://www.tolibrary.org,4,Yes,,56,"130,196","6,221","19,161","25,382","104,814","58,099","13,424",1,1,0,0,2,2,"1,008,681","5,309",13.55,106,8,17.13,46.75,36.75,2,17.13,63.88,"$7,421,409 ","$7,259,046 ",$0 ,$0 ,"$13,000 ",$0 ,$0 ,$0 ,"$13,000 ","$162,363 ",$0 ,"$8,448,184 ","$537,589 ","$357,456 ","$84,381 ","$95,752 ",$0 ,"$441,837 ","$3,197,422 ","$1,607,244 ","$4,804,666 ","$13,000 ","$3,105,929 ","$1,195 ","$169,879 ",$0 ,"153,700","13,698",0,"3,572","18,562","7,755","35,090",431,"9,777","16,783",118,0,"362,506","7,186",592,118,"9,567","21,856","16,783","195,108","362,506","433,490","717,535","396,836","8,620","70,733","28,135","98,868","788,268","816,403",253,577,"60,162",971,530,55,868,"26,416","35,073",291,"15,605",239,"10,811",386,"7,789","$10,350 ","$15,526 ","$9,185 ","$13,778 ","$7,528 ","$11,292 ","$5,530 ","$8,295 ","$4,971 ","$7,457 ","$4,971 ","$7,457 ","$3,999 ","$5,360 ",$0 ,$0 ,"$3,276 ","$4,390 ",Yes,Yes,Yes,"99,054",74,"2,254,000",Yes,CA0169,17-18
TORRANCE PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,3301 TORRANCE BLVD.,TORRANCE,90503,5059,3106185950,(310) 781-7599,http://www.Library.TorranceCA.gov,3,Yes,,21,"149,245","7,519","17,807","25,326","123,919","125,041","15,100",1,0,0,5,1,6,"663,460","13,980",14,110,0,22,51,25,26,21,73,"$7,673,027 ","$7,534,321 ","$24,795 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$113,911 ",$0 ,"$7,612,711 ","$766,419 ","$434,070 ","$35,000 ","$174,549 ","$122,800 ","$469,070 ","$5,691,167 ",($1),"$5,691,166 ",$0 ,"$1,155,126 ",$400 ,"$133,000 ","$1,000 ","151,417","15,915",0,"5,141","33,556","9,830","39,213",602,"11,192","4,285",15,0,"363,213",960,0,15,"13,292","21,391","4,285","195,881","363,213","440,884","1,169,260","616,880","42,439","19,722","345,965","365,687","1,188,982","1,534,947",442,410,"97,919",903,672,81,"1,377","29,771","35,345",404,"15,568",268,"14,203",150,"4,197","$10,856 ","$14,981 ","$8,423 ","$11,624 ",$0 ,$0 ,"$6,353 ","$7,348 ","$4,955 ","$6,492 ",$0 ,$0 ,"$4,064 ","$5,724 ",$0 ,$0 ,"$3,424 ","$4,367 ",Yes,No,No,"74,556",80,"562,740",No,CA0146,17-18
TRINITY COUNTY FREE LIBRARY,Trinity,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,351 MAIN ST.,WEAVERVILLE,96093,1226,5306231373,(530) 623-1373,http://library.trinitycounty.org,4,Yes,,"3,222.60","13,635",,,,"13,635","6,102","1,077",1,0,0,2,1,3,"38,610","2,316",1.25,4,0,1,1.55,1.55,0,1,2.55,"$363,224 ","$335,882 ","$27,342 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$359,254 ","$23,293 ","$22,363 ",$54 ,$876 ,$0 ,"$22,417 ","$127,081 ","$110,375 ","$237,456 ",$0 ,"$98,505 ",$0 ,"$11,450 ",$0 ,"11,060","1,211",,218,"1,944",441,"5,398",42,"2,221","9,241",2,0,"38,224","3,421",0,2,897,"2,221","9,241","25,953","38,224","54,851","39,546","7,914",,"395,472",,"395,472","435,018","435,018",50,214,267,62,58,4,28,810,838,54,783,4,27,0,0,"$6,077 ","$6,323 ",,,,,,,,,,,,,,,"$2,701 ","$2,782 ",Yes,Yes,Yes,"4,217",15,"2,583",No,CA0147,17-18
TULARE COUNTY FREE LIBRARY,Tulare,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,200 W. OAK AVE.,VISALIA,93291,4993,5597132720,(559) 713-2703,http://www.tularecountylibrary.org,4,Yes,,"4,824.30","349,054","31,914","61,287","93,201","255,853","55,234","12,311",1,4,0,12,5,17,"277,120","23,296",6.74,51,1,10,36,29,6,9,46,"$4,540,100 ","$4,357,363 ","$73,131 ","$26,241 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$83,365 ","$63,132 ","$4,310,943 ","$392,000 ","$230,300 ","$22,000 ","$58,500 ","$81,200 ","$252,300 ","$1,629,457 ","$583,484 ","$2,212,941 ",$0 ,"$1,706,002 ",$0 ,"$60,000 ","$359,014 ","113,940","14,198",0,"2,661","11,215","2,648","10,692",200,"6,621","17,537",51,0,"248,829","3,970",0,51,"6,768","13,778","17,537","120,691","248,829","288,524","455,369","210,667","11,408","41,940","249,167","291,107","497,309","746,476","36,887","43,047","40,865","3,128","2,524",216,"1,330","31,937","36,882",686,"7,228","1,838","24,709",388,"3,615","$8,651 ","$13,367 ","$6,365 ","$9,548 ","$5,022 ","$6,098 ","$3,885 ","$5,220 ","$3,181 ","$3,886 ","$3,619 ","$4,874 ","$3,181 ","$4,969 ","$4,893 ","$5,963 ","$2,117 ","$3,462 ",Yes,Yes,Yes,"54,475",94,"600,300",No,CA0148,17-18
TULARE PUBLIC LIBRARY,Tulare,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",San Joaquin Valley Library System,475 NORTH M STREET,TULARE,93274,3857,5596854505,(559) 685-4503,http://www.tularepubliclibrary.org,4,Yes,,16,"65,982","6,337","10,253","16,590","49,392","27,629","7,541",1,0,0,0,1,1,"144,451","2,169",6.25,16,0,4,11,5,6,1,15,"$1,558,070 ","$1,538,270 ",$0 ,"$8,800 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$11,000 ",$0 ,"$1,428,738 ","$86,851 ","$39,434 ","$7,157 ","$19,269 ","$20,991 ","$46,591 ","$443,977 ","$318,972 ","$762,949 ",$0 ,"$578,938 ",$0 ,"$17,870 ",$0 ,"20,873","4,215",0,316,"8,569","1,306","5,487",92,"2,491","12,005",35,0,"79,407","2,042",253,35,"1,285","3,792","12,005","54,319","79,407","105,595","167,329","50,803","2,727","9,621","14,000","23,621","176,950","190,950","21,557","23,813","31,375",457,265,16,80,"6,088","10,569",107,"1,679",158,"4,409",176,"4,401","$6,255 ","$7,603 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$4,261 ","$5,179 ","$3,143 ","$3,820 ",$0 ,$0 ,"$2,873 ","$3,492 ",Yes,Yes,Yes,"24,902",30,"66,415",Yes,CA0149,17-18
TUOLUMNE COUNTY LIBRARY,Tuolumne,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,49-99 Cooperative Library System,480 GREENLEY RD.,SONORA,95370,5956,2095335507,(209) 694-2722,http://www.tuolumnecounty.ca.gov/library,4,Yes,,"2,217.00","54,740","2,370","4,848","7,218","47,522","34,671","3,125",1,0,1,3,2,5,"170,589","5,587",5.25,21,1,2,9,0,8,2,11,"$1,223,096 ","$1,155,517 ","$24,583 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$42,996 ","$24,583 ","$1,223,096 ","$78,411 ","$43,298 ","$11,743 ","$15,000 ","$8,370 ","$55,041 ","$538,190 ","$412,704 ","$950,894 ",$0 ,"$193,791 ",$0 ,"$14,769 ","$64,973 ","23,774","3,346",0,350,"2,353",337,"3,008",214,"3,649","1,906",8,0,"68,846",0,0,8,"1,095","4,606","1,906","41,726","68,846","76,335","138,790","38,208",260,"4,273","7,638","11,911","143,063","150,701",655,711,"6,180",642,487,5,93,"11,363","12,806",360,"8,273",127,"3,090",150,"1,350","$6,294 ","$7,684 ",,,,,,,"$3,477 ","$4,244 ","$3,841 ","$4,690 ","$2,452 ","$3,655 ","$4,181 ","$5,105 ","$1,911 ","$2,333 ",Yes,Yes,Yes,"25,496",28,"11,519",No,CA0150,17-18
UPLAND PUBLIC LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,450 N. EUCLID AVE,UPLAND,91786,4732,9099314200,(909) 931-4205,http://www.uplandpl.lib.ca.us/#Library,3,Yes,,15,"77,017","4,589","10,073","14,662","62,355","73,661","17,264",1,0,0,0,1,1,"236,782","2,608",8,18,2,3,13,11,0,3,16,"$1,228,424 ","$1,200,000 ","$28,324 ",$100 ,$0 ,$0 ,$0 ,"$318,000 ","$318,000 ",$0 ,"$28,324 ","$1,365,977 ","$137,977 ","$90,717 ","$4,260 ","$43,000 ",$0 ,"$94,977 ",$0 ,$0 ,$0 ,"$318,000 ","$1,228,000 ",$100 ,"$46,023 ","$32,000 ","31,106","4,824",0,416,"2,739","1,158","2,906",42,"6,415","10,879",12,0,"80,643","5,195","30,000",12,"2,756","6,035","10,879","44,713","80,643","97,221","160,490","85,394",899,"10,328","5,401","15,729","170,818","176,219",0,0,"7,845",428,234,70,"1,051","8,431","12,746",154,"4,970",80,"3,461",124,"3,264",,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,"24,128",19,,No,CA0151,17-18
VENTURA COUNTY LIBRARY,Ventura,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Southern California Library Cooperative,5600 EVERGLADES ST. SUITE A,VENTURA,93003,6591,8056777150,N/A,http://www.vencolibrary.org,3,Yes,,"1,809.00","256,695","15,859","32,961","48,820","207,875","341,074","104,539",0,4,0,9,4,13,"726,992","23,868",2.2,97,11.95,14,51.78,12.91,26.92,14,65.78,"$8,604,004 ","$7,508,150 ","$178,843 ","$63,700 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$853,311 ","$48,758 ","$8,058,236 ","$613,748 ","$374,721 ","$21,947 ","$164,106 ","$52,974 ","$396,668 ","$3,378,062 ","$1,733,626 ","$5,111,688 ",$0 ,"$2,332,800 ",$0 ,"$129,552 ","$353,100 ","139,797","23,374",434,"2,665","10,662","9,373","23,817",284,"4,143","71,779",36,0,"388,796","11,899","2,334",36,"8,316","21,330","71,779","225,625","389,230","495,808","568,644","321,374","9,639","356,906","102,560","459,466","925,550","1,028,110",341,"1,630","22,122","3,666","2,616",106,"1,002","48,869","60,108",921,"20,830","1,695","28,039",944,"10,237","$13,616 ","$15,416 ","$7,784 ","$10,898 ","$4,905 ","$7,683 ","$4,135 ","$6,399 ","$2,914 ","$4,075 ","$3,193 ","$4,470 ","$2,710 ","$3,787 ","$5,444 ","$8,969 ","$2,358 ","$3,211 ",Yes,Yes,No,"62,065",125,"1,705,070",Yes,CA0152,17-18
VERNON PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,4305 SANTA FE AVE.,VERNON,90058,805,3235838811,-1,-1,,No,,5,209,,,,209,,,1,0,0,0,1,1,,-1,,,,,,,,,,,,,,,,,,,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,-3,17-18
VICTORVILLE CITY LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,15011 CIRCLE DRIVE,VICTORVILLE,92395,3914,7602454222,(760) 245-4222,https://www.victorvilleca.gov/library/,3,No,"10 cents per page b/w, 50 cents per page color",74,"123,565","11,191","20,397","31,588","91,977","54,338","3,958",1,0,0,0,1,1,"174,917","3,100",0,15,0,1,10.5,9,1.5,1,11.5,"$876,447 ","$768,153 ",$0 ,"$3,000 ","$4,846 ",$0 ,$0 ,$0 ,"$4,846 ","$105,294 ",,"$671,903 ","$72,064 ","$57,977 ","$3,771 ","$10,316 ",$0 ,"$61,748 ","$366,258 ","$55,176 ","$421,434 ",$0 ,"$178,405 ",$0 ,"$25,000 ",$0 ,"29,762","7,320",,728,"4,371","1,954","9,291",25,"3,116",0,11,0,"64,270","7,569",0,11,"1,712","3,116",0,"27,188","64,270","77,968","107,532","62,628","2,301","6,432",,"6,432","113,964","113,964","9,563","11,829","9,098",408,310,11,306,"4,140","5,235",227,"2,188",83,"1,952",87,789,"$5,810 ","$7,062 ",,,,,,,,,,,"$2,745 ","$2,745 ",,,"$2,260 ","$2,260 ",No,No,No,"43,868",31,,No,CA0207,17-18
WATSONVILLE PUBLIC LIBRARY,Santa Cruz,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,"275 MAIN ST., SUITE 100",WATSONVILLE,95076,4695,8317683406,(831) 768-3404,http://www.watsonvillelibrary.org,4,Yes,,6,"53,686",,,,"53,686","61,282","21,384",1,1,0,0,2,2,"587,332","7,280",45,55,1,10,26,21,4,10,36,"$3,390,659 ","$3,340,200 ","$40,459 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$10,000 ","$40,459 ","$3,319,945 ","$204,000 ","$125,000 ","$20,000 ","$34,000 ","$25,000 ","$145,000 ","$1,776,228 ","$1,183,717 ","$2,959,945 ",$0 ,"$156,000 ",$0 ,"$31,228 ","$207,464 ","43,288","10,428",0,623,"6,924",634,"4,452",113,,793,36,0,"134,286",522,87,36,"2,476",,793,"80,570","134,286","146,604","267,890","145,763","43,543","11,346",,"11,346","279,236","279,236",698,"1,789","63,456",694,550,73,"1,943","8,436","11,955",265,"3,875",285,"4,561",71,"1,576","$9,262 ","$12,412 ",,,"$5,613 ","$7,532 ","$4,452 ","$5,965 ",,,"$4,303 ","$5,766 ",,,"$4,856 ","$6,508 ","$3,031 ","$4,322 ",No,No,No,"113,896",66,,No,CA0153,17-18
WHITTIER PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,7344 S. WASHINGTON AVE.,WHITTIER,90602,1778,5625679920,(562) 567-9946,www.cityofwhittier.org,3,No,0.15,13,"87,369","5,687","11,962","17,649","69,720","143,328","18,633",1,1,1,0,3,3,"579,125","5,123",5,95,2,11,32.2,29.2,1,11,43.2,"$3,939,824 ","$3,501,966 ",$0 ,"$49,050 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$388,808 ",$0 ,"$3,501,966 ","$280,993 ","$139,740 ","$26,257 ","$85,785 ","$29,211 ","$165,997 ","$2,001,101 ","$540,414 ","$2,541,515 ",$0 ,"$679,458 ","$1,727 ","$47,318 ",$0 ,"104,844","12,514","1,250","1,008","15,566",904,"11,179",325,"8,814","1,772",24,0,"265,974",786,0,24,"5,080","11,230","1,772","148,616","267,224","296,090","269,309","152,023","5,502","6,200","898,546","904,746","275,509","1,174,055",64,10,"155,418","1,261","1,159",19,321,"38,329","42,326",708,"19,473",451,"18,856",83,"3,676","$10,030 ","$12,537 ","$7,301 ","$9,490 ","$6,953 ","$9,038 ","$5,137 ","$6,678 ","$4,434 ","$5,659 ","$4,826 ","$6,159 ","$3,596 ","$4,589 ","$5,290 ","$6,877 ","$3,050 ","$3,893 ",Yes,Yes,Yes,"24,153",65,"19,521",No,CA0154,17-18
WILLOWS PUBLIC LIBRARY,Glenn,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,201 N. LASSEN ST.,WILLOWS,95988,2794,5309345156,(530) 934-5156,http://www.cityofwillows.org,5,Yes,,657,"13,464","1,000","1,570","2,570","10,894","11,984","2,921",1,0,0,2,1,3,"25,760","2,704",0.5,9,0,0.5,5.5,4.5,1,0.5,6,"$301,501 ","$270,015 ","$31,486 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$31,486 ","$299,055 ","$10,099 ","$9,180 ",$419 ,$500 ,$0 ,"$9,599 ","$167,789 ","$41,984 ","$209,773 ",$0 ,"$79,183 ",$0 ,"$2,000 ",$0 ,"12,716","2,710",0,35,689,229,"1,678",21,"1,700","12,517",0,0,"55,219","6,053",0,0,438,"1,712","12,517","39,793","55,219","70,124","22,198","7,449",216,"1,134",,"1,134","23,332","23,332",52,73,,100,92,6,18,"2,834","2,866",48,"1,228",44,"1,606",2,14,"$6,246 ","$5,949 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,746 ","$2,883 ",$0 ,$0 ,"$1,792 ","$1,796 ",Yes,Yes,Yes,"5,213",21,"15,228",No,CA0155,17-18
