Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,Total # of Outlets,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Literacy Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Staff FTE,FTE Volunteers,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Electronic Books in Collection,# of Physical Audio Materials in Collection,# of Downloadable Audio Materials in Collection,# of Physical Video Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,# of Electronic Collections through State Funding in Collection,# of Electronic Collections in Collection,# of Current Serial Subscriptions,"Hours Open, All Outlets",Library Visits,Reference Questions,Physical Item Circulation,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Electronic Content Use,Total Circulation,Total Collection Use,ILL loans to others,ILL loans received,# of Children's Programs,Children's Program Attendance,# of Young Adult Programs,Young Adult Program Attendance,# of Adult Programs,Adult Program Attendance,"Of the above programs, how many were offsite?",Attendance at offsite programs,Total # of Programs,Total Program Attendance,CIPA Compliant,Annual Uses of Public Internet Computers,Virtual Visits to the library website,Wireless Sessions Per Year,# of Internet Terminals,Vulnerable populations,Personal economic development,Crisis support,Personal learning and knowledge development,Social capital,FSCS ID,Fiscal Year
SANTA CLARA COUNTY LIBRARY,Santa Clara,Joint Powers Authority,County/Parish (most nearly),Member of a Federation or Cooperative,Multi-jurisdictional,Pacific Library Partnership,1370 DELL AVENUE,CAMPBELL,95008,1817,4082932326,(408) 293-2326,http://www.sccl.org,"1,046.00","444,567","438,035","139,198",0,8,2,10,"299,244","$52,941,741 ","$180,635 ","$36,426 ","$3,973,708 ","$57,132,510 ","$73,072 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$20,332,707 ","$11,796,212 ","$32,128,919 ","$2,891,434 ","$215,255 ","$3,106,689 ","$2,758,522 ","$1,384,645 ","$7,249,856 ","$8,838,601 ","$48,217,376 ",$0 ,428,93.39,97.39,211.15,308.54,30.48,"731,383","64,106","1,479,515","122,562","158,169","43,587","276,076","31,078",86,4,90,"2,421","24,627","3,349,435","372,768","8,840,864","4,962,406","610,200","1,154,506","1,472,667","2,627,173","9,995,370","11,468,037",623,488,"3,250","175,131",856,"18,147","2,052","46,178",755,"62,106","6,158","239,456",No,"417,750","2,898,878","2,043,818",284,Yes,Yes,Yes,Yes,Yes,CA0126,18-19
SANTA CLARITA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,23743 VALENCIA BLVD.,SANTA CLARITA,91355,2105,6617996132,(661) 259-0750,http://www.santaclaritalibrary.com,58,"218,103","120,796","31,525",0,3,0,3,"71,066","$7,299,096 ","$5,000 ",$0 ,"$513,928 ","$7,818,024 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,548,765 ","$755,527 ","$3,304,292 ","$395,345 ","$11,881 ","$407,226 ","$366,171 ","$62,834 ","$836,231 ","$2,098,073 ","$6,238,596 ","$126,999 ",81,21,21,36.9,57.9,5,"128,999","18,418","265,846","24,371","13,049","5,805","20,930","1,312",37,4,41,94,"9,528","709,629","73,424","978,222","534,557","12,148","127,926","102,476","230,402","1,106,148","1,208,624",0,0,"1,333","43,599",269,"1,554",505,"4,312",82,"3,676","2,107","49,465",Yes,"118,489","470,984","49,649",169,Yes,Yes,No,Yes,No,CA0210,18-19
SANTA CRUZ PUBLIC LIBRARIES,Santa Cruz,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,City/County,Pacific Library Partnership,117 UNION STREET,SANTA CRUZ,95060,3873,8314277706,(831) 427-7707,http://www.santacruzpl.org/,436,"221,850","156,653","20,936",1,9,1,11,"95,540","$14,142,346 ",$0 ,"$4,000 ","$309,334 ","$14,455,680 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$7,712,915 ","$3,705,910 ","$11,418,825 ","$484,421 ","$75,747 ","$560,168 ","$563,230 ","$199,968 ","$1,323,366 ","$2,964,412 ","$15,706,603 ","$148,766 ",105,24,24,71.72,95.72,12.61,"117,939","13,075","332,564","19,110","34,482","75,301","26,762","31,042",33,3,36,"2,069","19,014","1,101,872","46,483","1,544,328","641,464","43,503","278,934","196,922","475,856","1,823,262","2,020,184","1,023","1,099","2,132","39,143",203,"3,042","1,367","18,792",,,"3,702","60,977",Yes,"152,960","1,557,872","509,258",298,Yes,Yes,Yes,Yes,Yes,CA0127,18-19
SANTA FE SPRINGS CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,11700 E. TELEGRAPH RD.,SANTA FE SPRINGS,90670,3600,5628687738,(562) 868-7738,http://www.sfslibrary.org,9,"18,261","40,967","12,564",1,1,0,2,"16,300","$1,795,415 ","$40,299 ","$5,100 ","$27,886 ","$1,868,700 ","$30,042 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$790,300 ","$760,100 ","$1,550,400 ","$69,300 ","$9,000 ","$78,300 ","$45,700 ","$22,500 ","$146,500 ","$171,800 ","$1,868,700 ",$0 ,24,4,4,12.5,16.5,4,"23,073","2,126","62,504","120,305","3,522","30,372","8,579","3,555",41,1,42,105,"4,316","155,030","27,528","176,124","80,422","9,476","5,153",443,"5,596","181,277","181,720",18,37,855,"15,912",18,312,244,"3,191",2,600,"1,117","19,415",Yes,"24,581",,,31,Yes,Yes,No,Yes,Yes,CA0128,18-19
SANTA MARIA PUBLIC LIBRARY,Santa Barbara,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Black Gold Cooperative Library System,421 S. MCCLELLAND ST.,SANTA MARIA,93454,5116,8059250994,(805) 925-0994,http://www.cityofsantamaria.org/library,"1,260.00","155,078","39,322","7,882",1,4,0,5,"69,292","$3,047,361 ","$124,140 ",$0 ,"$191,183 ","$3,362,684 ","$68,512 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,480,970 ","$665,277 ","$2,146,247 ","$103,849 ","$10,522 ","$114,371 ","$57,111 ","$28,386 ","$199,868 ","$917,576 ","$3,263,691 ",$0 ,61,6,7,33.55,40.55,12,"58,273","9,061","189,217","203,300","14,669","98,535","18,573","27,908",12,4,16,239,"8,216","323,487","34,143","506,383","213,402","30,206","57,453","4,761","62,214","563,836","568,597","79,183","37,196",447,"12,823",69,377,149,"4,306",64,"5,348",665,"17,506",Yes,"68,616","81,739","220,673",136,Yes,Yes,Yes,Yes,Yes,CA0129,18-19
SANTA MONICA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,601 SANTA MONICA BLVD,SANTA MONICA,90401,2501,3104588600,(310) 434-2608,http://www.smpl.org,8,"93,593","79,971","5,697",1,4,0,5,"136,376","$13,026,481 ","$63,000 ",$0 ,"$454,000 ","$13,543,481 ","$63,000 ","$350,000 ",$0 ,$0 ,$0 ,"$350,000 ","$7,592,492 ","$3,080,731 ","$10,673,223 ","$593,964 ","$91,686 ","$685,650 ","$358,208 ","$210,409 ","$1,254,267 ","$1,764,511 ","$13,692,001 ","$210,138 ",219,41.02,41.02,72.48,113.5,4.98,"122,733","19,819","384,766","332,774","23,799","316,310","42,765","14,945",24,1,25,677,"12,825","1,131,524","122,879","1,182,812","382,250","55,607","153,400","108,583","261,983","1,336,212","1,444,795","2,038",137,"1,209","41,886",117,"1,962",904,"21,352",149,"13,718","2,230","65,200",No,"159,705","906,897","87,875",160,Yes,Yes,No,Yes,Yes,CA0130,18-19
SAUSALITO PUBLIC LIBRARY,Marin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,420 LITHO ST.,SAUSALITO,94965,1933,4152894121,(415) 289-4120,http://www.sausalitolibrary.org,2,"7,416","4,673",275,1,0,0,1,"6,250","$919,552 ","$6,485 ",$0 ,"$17,656 ","$943,693 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$525,766 ","$175,790 ","$701,556 ","$70,815 ","$8,417 ","$79,232 ","$17,806 ","$12,698 ","$109,736 ","$92,753 ","$904,045 ",$0 ,32,4,4,5,9,0.5,"10,637","1,443","48,225","470,639","2,962","413,363","4,455","43,382",25,3,28,122,"3,144","120,316","5,305","118,681","24,627",,"16,245",,"16,245","134,926","134,926","32,465","15,759",275,"9,029",11,35,126,"3,076",0,0,412,"12,140",No,"14,725","37,627",,8,Yes,Yes,Yes,Yes,Yes,CA0132,18-19
SHASTA PUBLIC LIBRARIES,Shasta,Municipal Library,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,1100 PARKVIEW,REDDING,96001,3231,5302457260,(530) 245-7252,http://www.shastalibraries.org,"3,850.00","178,773","51,690","14,447",1,2,0,3,"63,969","$2,207,073 ","$88,368 ",$0 ,"$106,704 ","$2,402,145 ","$66,658 ","($2,100)",$0 ,$0 ,$0 ,"($2,100)",$0 ,$0 ,$0 ,"$140,461 ","$6,867 ","$147,328 ","$83,368 ","$21,292 ","$251,988 ","$2,170,941 ","$2,422,929 ","$200,888 ",32,5.8,5.8,17.82,23.62,7.58,"49,326","8,222","150,530","24,434","12,103","1,460","9,056",45,19,2,21,152,"6,656","1,323,898","152,346","441,471","189,371","2,125","38,803","54,387","93,190","480,274","534,661",0,0,505,"16,245",74,819,431,"4,222",5,144,"1,010","21,286",Yes,"83,458","227,218","31,549",96,Yes,Yes,Yes,Yes,Yes,CA0133,18-19
SIERRA MADRE PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,440 W. SIERRA MADRE BLVD.,SIERRA MADRE,91024,2399,6263557186,(626) 355-7186,www.cityofsierramadre.com/services/library,3,"11,135","10,801","2,136",1,0,0,1,"8,762","$567,627 ","$1,343 ",$0 ,"$47,072 ","$616,042 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$363,886 ","$91,894 ","$455,780 ","$47,320 ","$6,956 ","$54,276 ","$17,798 ","$11,468 ","$83,542 ","$77,026 ","$616,348 ",$0 ,14,3.45,3.45,3.77,7.22,2.11,"16,198","1,506","39,849","20,307","2,526","8,424","3,339",296,9,2,11,73,"2,310","75,366","4,868","108,828","66,543",560,"6,744","1,337","8,081","115,572","116,909",0,0,263,"8,437",40,554,130,"1,283",4,221,433,"10,274",No,"5,898",-1,"32,032",7,No,Yes,No,Yes,Yes,CA0134,18-19
SIGNAL HILL PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,1780 EAST HILL ST.,SIGNAL HILL,90755,3632,5629897323,(562) 989-7323,http://www.cityofsignalhill.org/library,2,"11,795",819,"3,090",1,0,0,1,"2,320","$454,620 ",$0 ,$0 ,$0 ,"$454,620 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$274,775 ","$102,800 ","$377,575 ","$38,400 ",$0 ,"$38,400 ","$2,009 ",$0 ,"$40,409 ","$36,636 ","$454,620 ",$0 ,12,1,1,3,4,8,"11,676",862,"17,149",541,634,686,"1,916",262,2,0,2,42,"2,046","16,929",993,"40,236","11,654",646,"1,126",,"1,126","41,362","41,362",205,280,24,"3,669",20,388,21,717,5,184,65,"4,774",Yes,"6,821","5,514","6,002",6,Yes,Yes,No,Yes,Yes,CA0166,18-19
SIMI VALLEY PUBLIC LIBRARY,Ventura,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,2969 TAPO CANYON RD,SIMI VALLEY,93063,2117,8055261735,(805) 526-1735,www.simivalleylibrary.org,41,"127,716","48,335","8,438",1,0,0,1,"35,000","$2,428,129 ",$0 ,$0 ,"$86,863 ","$2,514,992 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$609,639 ","$225,763 ","$835,402 ","$112,725 ","$5,682 ","$118,407 ","$122,780 ","$26,678 ","$267,865 ","$911,927 ","$2,015,194 ",$0 ,19,4,4,12.7,16.7,5,"51,826","10,992","126,867","3,300","4,017",620,"9,828",0,14,2,16,74,"2,860","142,279","14,909","317,085","173,226","3,384","13,374","2,631","16,005","330,459","333,090","38,992","43,974",424,"9,029",63,416,72,"1,642",28,"2,129",559,"11,087",Yes,"23,384","246,752",,28,Yes,Yes,Yes,Yes,Yes,CA0211,18-19
SISKIYOU COUNTY FREE LIBRARY,Siskiyou,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,719 FOURTH ST.,YREKA,96097,3302,5308428807,(530) 842-8807,http://www.siskiyoulibrary.info,"6,267.00","44,584","10,913","2,550",1,11,0,12,"30,252","$692,032 ","$63,350 ",$0 ,"$70,688 ","$826,070 ","$43,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$181,515 ","$131,831 ","$313,346 ","$45,494 ",$0 ,"$45,494 ","$9,968 ","$19,103 ","$74,565 ","$438,159 ","$826,070 ",$0 ,4,2,2,2,4,4.1,"24,712","2,876","87,100","24,504","4,473","11,079","12,527",45,0,4,4,371,"14,216",,,"201,179","41,910",185,"9,595",,"9,595","210,774","210,774",1,1,,,,,,,,,,,Yes,"26,801",,,63,No,No,Yes,Yes,No,CA0135,18-19
SOLANO COUNTY LIBRARY,Solano,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,1150 KENTUCKY ST.,FAIRFIELD,94533,9988,7077841500,N/A,http://solanolibrary.com/,631,"384,673","121,205","13,134",0,8,0,8,"138,774","$21,611,585 ","$99,274 ","$1,754 ","$581,314 ","$22,293,927 ","$99,274 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$8,256,861 ","$4,321,761 ","$12,578,622 ","$479,443 ","$41,403 ","$520,846 ","$278,799 ","$318,131 ","$1,117,776 ","$5,027,590 ","$18,723,988 ","$1,382,719 ",243,36.5,36.5,75.5,112,15.26,"189,336","31,303","418,011","38,938","48,848","33,742","88,501","8,642",21,3,24,726,"22,736","1,454,986","155,153","1,335,958","552,714","23,172","121,885","90,795","212,680","1,457,843","1,548,638","74,076","72,854","2,581","115,778",302,"11,674","1,026","25,264",,,"3,909","152,716",No,"226,134","406,701","218,176",266,Yes,No,No,Yes,Yes,CA0136,18-19
SONOMA COUNTY LIBRARY,Sonoma,Joint Powers Authority,County/Parish (exactly),Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,6135 STATE FARM DR.,ROHNERT PARK,94928,2147,7075450831,(707) 308-3020,http://sonomalibrary.org,"1,608.00","500,675","179,134","50,072",1,14,0,15,"200,547","$32,048,250 ","$895,577 ","$57,257 ","$1,686,006 ","$34,687,090 ","$76,380 ","$1,534,261 ",$0 ,$0 ,$0 ,"$1,534,261 ","$12,340,474 ","$7,605,407 ","$19,945,881 ","$977,428 ","$135,063 ","$1,112,491 ","$1,325,636 ","$913,407 ","$3,351,534 ","$5,584,370 ","$28,881,785 ","$1,534,261 ",231,66.5,66.5,129.58,196.08,12.35,"256,257","30,958","668,088","196,745","30,417","120,149","61,646","44,872",76,4,80,"1,454","34,949","2,181,067","178,711","2,961,033","1,182,295","73,828","485,798","343,323","829,121","3,446,831","3,790,154","121,181","164,404","3,524","94,076",765,"13,561","2,444","43,330","1,030","55,807","6,733","150,967",No,"243,076","2,445,477","192,061",361,Yes,Yes,Yes,Yes,Yes,CA0137,18-19
SOUTH PASADENA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,1100 OXLEY ST.,SOUTH PASADENA,91030,3198,6264037330,(626) 403-7350,www.southpasadenaca.gov/library,3,"26,245","36,321","5,676",1,0,0,1,"24,500","$1,715,289 ",$0 ,$0 ,$0 ,"$1,715,289 ",$0 ,"$87,151 ",$0 ,$0 ,$0 ,"$87,151 ","$908,203 ","$306,570 ","$1,214,773 ","$73,990 ","$12,317 ","$86,307 ","$58,752 ","$18,823 ","$163,882 ","$181,974 ","$1,560,629 ","$85,969 ",37,8.5,8.5,10.75,19.25,3.49,"42,843","4,844","111,845","22,138","11,104","9,769","9,528",268,20,4,24,180,"2,679","241,667","10,868","304,279","164,400","5,567","18,811","18,533","37,344","323,090","341,623",40,9,233,"18,596",10,265,196,"4,277",15,"3,200",439,"23,138",No,"22,276",,,15,Yes,Yes,No,Yes,Yes,CA0138,18-19
SOUTH SAN FRANCISCO PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,840 W. ORANGE AVE.,SOUTH SAN FRANCISCO,94080,3125,6508293860,(650) 829-3860,http://www.ssf.net/library,10,"67,078","35,380","10,149",1,2,0,3,"45,006","$5,268,430 ","$186,656 ","$101,900 ","$249,308 ","$5,806,294 ","$89,697 ","$12,644,947 ",$0 ,$0 ,$0 ,"$12,644,947 ","$2,538,524 ","$1,782,088 ","$4,320,612 ","$177,212 ","$15,000 ","$192,212 ","$72,677 ","$107,550 ","$372,439 ","$929,415 ","$5,622,466 ","$4,623,601 ",99,12.06,12.06,29.43,41.49,3.8,"41,479","3,936","105,797","77,203","12,793","14,513","24,180","56,610",35,2,37,207,"6,417","410,825","21,411","552,947","207,213","21,487","29,550","18,753","48,303","582,497","601,250","89,897","43,236","1,924","58,645",53,712,770,"9,049",352,"16,022","2,747","68,406",No,"59,598","216,044","686,930",132,Yes,Yes,No,Yes,Yes,CA0139,18-19
ST. HELENA PUBLIC LIBRARY,Napa,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,1492 LIBRARY LANE,ST. HELENA,94574,1143,7079635244,(707) 963-5244,http://www.shpl.org/,4,"6,133","6,905",979,1,0,0,1,"14,445","$1,055,590 ","$8,282 ","$6,428 ","$194,210 ","$1,264,510 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$536,539 ","$269,799 ","$806,338 ","$44,938 ","$5,342 ","$50,280 ","$31,976 ","$26,492 ","$108,748 ","$255,949 ","$1,171,035 ",$0 ,14,2,3,5.05,8.05,0.44,"22,796","1,766","50,412","101,478","6,489","12,712","11,023","2,075",23,4,27,69,"2,257","98,848","8,892","136,143","52,363","4,772","11,689","34,071","45,760","147,832","181,903","32,331","17,432",551,"9,371",0,0,89,"1,640",256,"5,591",640,"11,011",No,"5,084","41,200",,15,Yes,Yes,Yes,Yes,Yes,CA0141,18-19
STANISLAUS COUNTY FREE LIBRARY,Stanislaus,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,49-99 Cooperative Library System,1500 I ST.,MODESTO,95354,1166,2095587801,(209) 558-7814,http://stanislauslibrary.org,"1,521.00","558,972","449,743","35,421",1,12,0,13,"148,547","$10,748,739 ","$327,569 ",$0 ,"$723,686 ","$11,799,994 ","$307,569 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$5,289,914 ","$2,664,398 ","$7,954,312 ","$388,824 ","$6,931 ","$395,755 ","$256,106 ","$54,586 ","$706,447 ","$3,539,119 ","$12,199,878 ","$1,030,321 ",161,18,21,114.2,135.2,2.47,"254,704","32,483","563,993","354,619","15,646","321,080","35,671","15,629",24,2,26,338,"29,016","1,389,990","112,879","1,503,709","790,766","29,957","146,321","12,448","158,769","1,650,030","1,662,478","7,693","8,093","3,656","120,636",315,"6,051",423,"6,803",219,"19,758","4,394","133,490",Yes,"125,996","1,531,556","243,987",144,Yes,Yes,Yes,Yes,Yes,CA0140,18-19
STOCKTON-SAN JOAQUIN COUNTY PUBLIC LIBRARY,San Joaquin,Municipal Library,County/Parish (most nearly),Member of a Federation or Cooperative,City/County,49-99 Cooperative Library System,605 N. EL DORADO ST.,STOCKTON,95202,1999,2099378362,(209) 937-8221,http://www.ssjcpl.org,"1,409.00","702,113","175,374","37,292",1,14,1,16,"179,641","$13,365,591 ","$42,676 ",$0 ,"$367,747 ","$13,776,014 ","$29,560 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$4,953,977 ","$2,316,358 ","$7,270,335 ","$828,654 ","$58,900 ","$887,554 ","$428,424 ","$91,749 ","$1,407,727 ","$4,756,709 ","$13,434,771 ",$0 ,177,22,23,52,75,4,"263,420","39,900","828,654","16,331","23,402","7,206","42,351","7,812",47,1,48,935,"29,055","652,837","133,733","1,214,497","711,671","24,473","127,977","74,870","202,847","1,342,474","1,417,344","13,668","19,194","2,499","64,256",310,"4,091",840,"7,407",384,"29,815","3,649","75,754",Yes,"140,151","302,767",,227,Yes,Yes,No,Yes,Yes,CA0142,18-19
SUNNYVALE PUBLIC LIBRARY,Santa Clara,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,665 W. OLIVE AVE.,SUNNYVALE,94086,7622,4087307314,(408) 730-7300,http://www.sunnyvalelibrary.org,25,"155,567","107,348","11,037",1,0,0,1,"60,800","$8,016,319 ","$6,453 ",$0 ,"$264,007 ","$8,286,779 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,898,676 ","$789,461 ","$3,688,137 ","$482,639 ","$16,695 ","$499,334 ","$261,976 ","$46,765 ","$808,075 ","$3,520,107 ","$8,016,319 ",$0 ,85,17.9,17.9,29.84,47.74,0.77,"98,908","8,425","223,250","445,976","13,367","314,247","29,505","38,607",48,2,50,262,"3,290","619,978","61,004","1,866,399","1,144,096","144,431","117,932","222,410","340,342","1,984,331","2,206,741","8,500","9,695",471,"36,565",105,"2,531",355,"8,631",131,"6,321",931,"47,727",No,"70,412","313,037",,55,Yes,Yes,No,Yes,Yes,CA0143,18-19
SUTTER COUNTY LIBRARY,Sutter,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,750 FORBES AVE.,YUBA CITY,95991,3891,5308227137,-1,http://www.co.sutter.ca.us/doc/government/depts/library/library,681,"97,490","41,832","10,887",1,2,0,3,"25,132","$1,305,552 ","$93,199 ","$194,730 ","$121,274 ","$1,714,755 ","$93,199 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$695,877 ","$430,531 ","$1,126,408 ","$50,803 ","$3,549 ","$54,352 ","$8,719 ","$4,800 ","$67,871 ","$444,668 ","$1,638,947 ",$0 ,16,1,1,12,13,6,"37,035","4,002","105,928","6,705",829,"6,360","3,652",0,4,3,7,82,"3,848","253,409","1,641","327,435","175,345",449,"6,705",496,"7,201","334,140","334,636","41,192","44,040",341,"13,598",761,"5,130",679,"35,134",602,"18,270","1,781","53,862",Yes,"112,395","25,633","20,516",48,Yes,Yes,Yes,Yes,Yes,CA0144,18-19
TEHAMA COUNTY LIBRARY,Tehama,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,545 DIAMOND AVE.,RED BLUFF,96080,4302,5305270604,(530) 527-0604,http://www.tehamacountylibrary.org,"2,951.00","64,387","16,426","3,526",1,2,0,3,"24,140","$682,177 ","$12,000 ","$10,500 ",$0 ,"$704,677 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$307,713 ","$206,166 ","$513,879 ","$9,683 ",$250 ,"$9,933 ","$7,500 ",$0 ,"$17,433 ",$0 ,"$531,312 ",$0 ,14,1,4,8,12,5,"22,027","3,068","149,069","24,434","1,911","11,043","2,457",45,2,3,5,50,"3,172",,"5,428","149,069","45,326",321,"5,909",,"5,909","154,978","154,978",1,346,111,"4,508",65,300,100,,13,"1,660",276,"4,808",Yes,"10,503",,,25,Yes,Yes,Yes,Yes,Yes,CA0145,18-19
THOUSAND OAKS LIBRARY,Ventura,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,1401 E. JANSS RD.,THOUSAND OAKS,91362,2199,8054492660,(805) 449-2660,http://www.tolibrary.org,56,"129,557","64,064","14,604",1,1,0,2,"106,460","$7,596,267 ","$7,289 ",$0 ,"$218,597 ","$7,822,153 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,368,418 ","$1,488,269 ","$4,856,687 ","$288,600 ","$61,107 ","$349,707 ","$375,835 ","$87,044 ","$812,586 ","$1,794,247 ","$7,463,520 ",$0 ,106,17.13,17.13,46.98,64.11,13.19,"168,845","13,828","336,139","10,377","13,778","2,405","35,259","26,629",131,2,133,241,"5,309","574,665","65,895","674,911","387,783","8,656","105,202","197,222","302,424","780,113","977,335",252,572,604,"25,655",110,"3,698",538,"10,785",83,"4,894","1,252","40,138",Yes,"49,777","936,104","81,085",46,Yes,Yes,Yes,Yes,Yes,CA0169,18-19
TORRANCE PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,3301 TORRANCE BLVD.,TORRANCE,90503,5059,3106185950,(310) 781-7599,http://www.Library.TorranceCA.gov,21,"148,054","157,140","21,832",1,5,0,6,"96,104","$7,709,142 ","$26,795 ",$0 ,"$118,930 ","$7,854,867 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$5,979,067 ",($1),"$5,979,066 ","$434,070 ","$35,000 ","$469,070 ","$149,249 ","$143,213 ","$761,532 ","$1,401,465 ","$8,142,063 ",$0 ,98,18,22,51,73,12,"195,016","14,668","383,010","4,933","35,160","1,429","48,613",0,16,3,19,622,"13,980","619,686","96,386","1,075,719","629,217","43,287","25,430","677,202","702,632","1,101,149","1,778,351",469,386,674,"32,730",53,"1,074",244,"5,855",46,"9,715",971,"39,659",No,"62,397","615,585",-1,80,Yes,Yes,Yes,Yes,Yes,CA0146,18-19
