Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Closed Outlets Due to COVID-19,Public Services During COVID-19,Electronic Library Cards During COVID-19,Reference Service During COVID-19,Outside Service During COVID-19,External WiFi Access Added During COVID-19,External WiFi Access Increased During COVID-19,Staff Re-Assigned During COVID-19,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,# of Outlets,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Staff FTE,FTE Volunteers,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Physical Audio Materials,# of Physical Video Materials,Other Physical Items,Total Physical Items,# of Current Serial Subscriptions,# of Electronic Books,# of Downloadable Audio Materials,# of Downloadable Video Materials,Electronic Collections Locally Funded,Electronic Collections State Funded (no more than 6),# of Electronic Collections,"Hours Open, All Outlets",Library Visits,Library visits reporting method,Reference Questions,Reference transactions reporting method,Do you charge late fines?,Charge per day for Adults,For Young Adults,For Children,Do you lend laptops?,Do you lend hot spots?,Circulation of Childrens Materials,Circulation of Non English Materials,ILL loans to others,ILL loans received,Circulation of Other Physical Items,Physical Item Circulation,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Total Annual Circulation,Total Electronic Content Use,Total Content Use,Are you able to report live programming and virtual programming separately?,# of Programs,Total Program Attendance,# of Children's Programs (calculated),Children's Program Attendance,# of Pre School Programs,# of Children's Programs for Ages 0-5 (calculated),"# of Children's Programs (ages 0-5) - Live, In-person","# of Children's Programs (ages 0-5) - Live, Virtual",Pre-School Program Attendance,Children's Program Attendance (calculated),"# of Children's Program Attendees (ages 0-5) - Live, In-person","# of Children's Program Attendees (ages 0-5) - Live, Virtual",# of School Aged Programs,# of Children's Programs for Ages 6-11,"# of Children's Programs (age 6-11) - Live, In-person","# of Children's Programs (age 6-11) - Live, Virtual",School Aged Program Attendance,Children's Program Attendance,"# of Children's Program Attendees (age 6-11) - Live, In-person","# of Children's Program Attendees (age 6-11) - Live, Virtual",# of Young Adult Programs,# of Young Adult Programs (calculated),"# of Young Adult Programs - Live, In-person","# of Young Adult Programs - Live, Virtual",Young Adult Program Attendance,Young Adult Program Attendance (calculated),"Young Adult Program Attendance - Live, In-person","Young Adult Program Attendance - Live, Virtual",# of Adult Programs,# of Adult Programs (calculated),"# of Adult Programs - Live, In-person","# of Adult Programs - Live, Virtual",Adult Program Attendance,Adult Program Attendance (calculated),"Adult Program Attendance - Live, In-person","Adult Program Attendance - Live, Virtual",# of Programs for all ages,# of Programs for all ages (calculated),"# of General Interest Programs - Live, In-person","# of General Interest Programs - Live, Virtual",General Audience attendance,General Audience attendance (calculated),"General Audience Program Attendance - Live, In-person","General Audience Program Attendance - Live, Virtual","Of the above programs, how many were offsite?",Attendance at offsite programs,# recordings of program content,# views of recorded program content,# on-demand views of recorded live programs,CIPA Compliant,Annual Uses of Public Internet Computers,Reporting Method for Uses of Computers,Website visits,Wireless Sessions Per Year,Reporting Method for Wifi Sessions,# of Internet Terminals,# of self-directed activities,# of participants,Describe activities,FSCS ID,Fiscal Year
ST. HELENA PUBLIC LIBRARY,Napa,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,1492 LIBRARY LANE,ST. HELENA,94574,1143,(707) 963-5244,(707) 963-5244,https://www.shpl.org/,4,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"6,070","6,521",824,1,0,0,1,"14,445","$940,131 ","$7,389 ",$0 ,"$181,491 ","$1,129,011 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$492,087 ","$303,409 ","$795,496 ","$36,641 ","$1,570 ","$38,211 ","$52,125 ","$13,399 ","$103,735 ","$172,006 ","$1,071,237 ",$0 ,13,2,2,4.4,6.4,0.1,"19,484","1,411","45,335","5,678","10,334",0,"61,347",0,"130,876","22,082","7,638",18,4,22,728,"9,983",Annual Count,"11,388",Annual Estimate Based on Typical Week(s),No,,,,No,No,"40,302","1,899","24,856","19,797",30,"88,597","40,974","9,693",,"50,667","139,264",Yes,34,786,30,683,,4,4,0,,73,73,0,,26,26,0,,610,610,0,,0,0,0,,0,0,0,,4,0,4,,103,0,103,,0,0,0,,0,0,0,20,400,5,720,0,No,927,Annual Count,"45,072",-1,,14,27,"1,913","Kits handed out included: paper flowers, Day of the Dead craft, pumpkin craft, turkey craft, gratitude journal, wood ornament craft, gingerbread house, Christmas collage, snow globe ornament, pine cone Christmas tree, snowman craft, paint kit, screen-free night, hot cocoa bomb, simple science, winter wand, shamrock craft, smores, weather wheel, Dia de Nino craft, salsa making, and Fathers' Day craft. Had reading challenges in both winter and summer.",CA0141,20-21
STANISLAUS COUNTY FREE LIBRARY,Stanislaus,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,49-99 Cooperative Library System,1500 I ST.,MODESTO,95354,1166,(209) 558-7801,(209) 558-7814,http://stanislauslibrary.org,"1,521.00",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"555,968","458,500","27,020",1,12,0,13,"157,267","$14,433,819 ","$275,615 ","$612,049 ","$185,725 ","$15,507,208 ","$200,000 ",$0 ,$0 ,$0 ,"$200,000 ","$4,509,862 ","$2,583,441 ","$7,093,303 ","$304,588 ","$5,807 ","$310,395 ","$260,223 ","$38,413 ","$609,031 ","$3,614,690 ","$11,317,024 ","$507,774 ",130,18,21,91.6,112.6,0,"249,639","31,675","550,098","15,064","36,575",103,"601,840",280,"569,691","416,237","21,460",20,5,25,"8,388","205,498",Annual Count,"26,000",Annual Estimate Based on Typical Week(s),Yes,$0.25 ,$0.25 ,$0.25 ,No,Yes,"223,011","8,553","6,735","3,816",58,"477,841","243,601","3,282",,"246,883","724,724",Yes,190,"3,757",85,"2,055",7,81,,74,,"2,025",,"2,025",,4,,4,,30,,30,,0,0,0,,0,0,0,,105,1,104,,"1,702",50,"1,652",,0,0,0,,0,0,0,0,0,90,760,760,Yes,"9,469",Annual Count,"1,348,301","55,277",Annual Count,144,1,"6,311","Craft bags as take home experiences included various S.T.E.A.M or S.T.E.M (Science, Technology, Engineering, Art, and Math) themed activities such as slime, LED pop-up circuitry cards, chalk art, dragon eggs, origami, etc. Other take home experiences included crafts that were tied to specific book selections, jewelry making, etc.",CA0140,20-21
STOCKTON-SAN JOAQUIN COUNTY PUBLIC LIBRARY,San Joaquin,Municipal Library,County/Parish (most nearly),Member of a Federation or Cooperative,City/County,49-99 Cooperative Library System,605 N. EL DORADO ST.,STOCKTON,95202,1999,(209) 937-8362,(209) 937-8221,http://www.ssjcpl.org,"1,409.00",Yes,Yes,Yes,Yes,Yes,No,Yes,No,"714,783","134,988","32,693",1,15,1,17,"196,170","$14,214,428 ","$34,470 ","$20,000 ","$31,266 ","$14,300,164 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$4,495,731 ","$2,455,192 ","$6,950,923 ","$547,034 ","$55,517 ","$602,551 ","$412,042 ","$26,540 ","$1,041,133 ","$4,741,106 ","$12,733,162 ",$0 ,131,24,24,51,75,0,"245,863","39,132","528,293","22,798","36,016","12,522","599,629",667,"25,743","23,519","6,738",51,3,54,"21,318","120,679",Annual Count,"43,122",Annual Count,Yes,$0.25 ,$0.10 ,$0.10 ,No,No,"245,139","4,497","5,157","9,336",106,"318,843","153,072","71,668","471,915","224,740","543,583",No,300,"7,155",191,"5,903",57,57,,,72,72,,,134,134,,,"5,831","5,831",,,26,26,,,522,522,,,83,83,,,730,730,,,0,0,,,0,0,,,140,"7,155",665,"23,177","4,927",Yes,"5,630",Annual Count,"535,660",-1,,230,686,"4,719",Stem projects; literacy programs; summer and winter reading; craft bags for children to take home; story walks; activity sheets. ,CA0142,20-21
SUNNYVALE PUBLIC LIBRARY,Santa Clara,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,665 W. OLIVE AVE.,SUNNYVALE,94086,7622,(408) 730-7314,(408) 730-7300,http://www.sunnyvalelibrary.org,25,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"153,827","108,615","11,986",1,0,0,1,"60,800","$9,943,320 ","$8,653 ",$0 ,"$42,711 ","$9,994,684 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$3,079,414 ","$2,560,225 ","$5,639,639 ","$234,271 ","$12,266 ","$246,537 ","$457,413 ","$74,562 ","$778,512 ","$3,525,169 ","$9,943,320 ",$0 ,72,16.38,16.38,24.72,41.1,0.09,"98,559","8,861","229,186","11,724","28,200",388,"269,498",235,"718,478","430,309","48,332",51,3,54,484,"39,807",Annual Count,"34,079",Annual Estimate Based on Typical Week(s),No,,,,Yes,Yes,"394,989","31,922","5,256","2,551","7,877","609,278","313,356","445,139",,"758,495","1,367,773",Yes,376,"9,400",163,"4,939",,41,0,41,,"1,771",0,"1,771",,122,0,122,,"3,168",0,"3,168",,35,0,35,,669,0,669,,154,0,154,,"3,478",0,"3,478",,24,2,22,,314,49,265,2,49,120,"7,580",874,No,-1,,"613,166",-1,,55,14,220,"Writing contests, scavenger hunts, book trivia contest, community card writing, Teen Among Us Virtual Mission activity, virtual lego build, poetry contest, make your own death star",CA0143,20-21
SUTTER COUNTY LIBRARY,Sutter,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,750 FORBES AVE.,YUBA CITY,95991,3891,(530) 822-7137,-1,http://www.co.sutter.ca.us/doc/government/depts/library/library,681,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"101,289","44,070","9,749",1,2,0,3,"25,132","$1,228,983 ","$91,429 ","$149,441 ","$54,287 ","$1,524,140 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$641,708 ","$462,484 ","$1,104,192 ","$17,792 ","$1,100 ","$18,892 ","$4,007 ","$1,000 ","$23,899 ","$397,049 ","$1,525,140 ","$1,149,990 ",15,1,1,11,12,0,"34,856","3,530","95,854",802,"3,793",0,"100,449",40,"41,527","8,775",0,4,3,7,"3,000",-1,Annual Estimate Based on Typical Week(s),-1,Annual Estimate Based on Typical Week(s),Yes,$0.25 ,$0.25 ,$0.05 ,No,No,"29,309",33,"47,177","5,293",-1,"72,694","21,466",-1,,"21,466","94,160",Yes,960,"8,727",75,"3,933",,42,39,3,,"1,858","1,824",34,,33,30,3,,"2,075","1,974",101,,486,0,486,,732,0,732,,399,364,35,,"4,062","3,854",208,,0,0,0,,0,0,0,399,"4,062",0,0,0,Yes,0,Annual Estimate Based on Typical Week(s),"24,173",-1,,43,"3,010",443,Crafts bags for kids were handed out at 3 locations for 22 weeks. Crafts & free books were handed out at Certified Farmer's Market for 16 weeks.,CA0144,20-21
TEHAMA COUNTY LIBRARY,Tehama,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,545 DIAMOND AVE.,RED BLUFF,96080,4302,(530) 527-0604,(530) 527-0604,http://www.tehamacountylibrary.org,"2,951.00",Yes,Yes,Yes,Yes,Yes,No,Yes,No,"65,354","15,265","3,190",1,2,0,3,"24,140","$701,854 ","$22,000 ","$10,000 ","$16,000 ","$749,854 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$314,164 ","$215,570 ","$529,734 ","$9,683 ",$250 ,"$9,933 ","$14,000 ",$0 ,"$23,933 ",$0 ,"$553,667 ",$0 ,14,2,4,8,12,5,"5,989",0,"65,878","1,981","2,748",0,"70,607",50,"12,273","4,924","27,014",2,3,5,"2,440",-1,Annual Count,"3,330",Annual Count,No,,,,Yes,Yes,"5,989",-1,0,-1,-1,"65,878","12,970",-1,"78,848","12,970","78,848",No,435,"6,966",265,"4,863",148,148,,,"2,630","2,630",,,117,117,,,"2,233","2,233",,,41,41,,,"1,063","1,063",,,104,104,,,0,0,,,25,25,,,"1,040","1,040",,,6,567,15,"5,857",-1,Yes,"8,073",Annual Estimate Based on Typical Week(s),-1,-1,Annual Estimate Based on Typical Week(s),25,93,-1,"story walk, radio programs, challenge videos, bingo, dial a story and more. ",CA0145,20-21
THOUSAND OAKS LIBRARY,Ventura,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,1401 E. JANSS RD.,THOUSAND OAKS,91362,2134,(805) 449-2660,(805) 449-2660,http://www.tolibrary.org,56,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"125,426","38,679","7,242",1,1,0,2,"106,460","$8,249,305 ",$0 ,$0 ,"$38,847 ","$8,288,152 ","$147,011 ",$0 ,$0 ,$0 ,"$147,011 ","$3,130,775 ","$1,940,044 ","$5,070,819 ","$250,574 ","$20,312 ","$270,886 ","$499,231 ","$39,893 ","$810,010 ","$1,329,411 ","$7,210,240 ","$147,011 ",89,15.75,15.75,38.75,54.5,7.71,"157,695","18,409","335,670","14,738","34,782",287,"385,477",810,"24,701","3,621","30,631",65,4,69,230,"21,710",Annual Count,"10,817",Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,No,No,"139,204","1,406",0,2,0,"236,037","212,028","300,388",,"512,416","748,453",Yes,338,"4,146",124,"2,630",,2,0,2,,10,0,10,,122,0,122,,"2,620",0,"2,620",,76,0,76,,663,0,663,,138,0,138,,853,0,853,,0,0,0,,0,0,0,0,0,144,"3,849",0,Yes,826,Annual Count,"848,438","15,193",Annual Count,45,12,788,Take and make.,CA0169,20-21
TORRANCE PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,3301 TORRANCE BLVD.,TORRANCE,90503,5059,(310) 618-5950,(310) 781-7599,http://www.Library.TorranceCA.gov,21,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"144,832","93,211","15,281",1,5,0,6,"96,104","$5,768,535 ","$10,000 ","$4,785 ","$29,350 ","$5,812,670 ","$165,000 ",$0 ,$0 ,$0 ,"$165,000 ","$1,624,286 ","$2,193,495 ","$3,817,781 ","$129,573 ","$43,101 ","$172,674 ","$212,439 ",$714 ,"$385,827 ","$1,609,062 ","$5,812,670 ",$0 ,89,18,18,44.5,62.5,0,"129,500","11,000","415,000","37,533","39,212",0,"491,745",306,"88,459","25,461",579,14,4,18,"3,168","92,144",Annual Estimate Based on Typical Week(s),"9,350",Annual Estimate Based on Typical Week(s),No,,,,No,No,-1,-1,0,280,-1,"336,001","62,257","12,460,728",,"12,522,985","12,858,986",Yes,120,"9,609",78,"8,287",,16,0,16,,"3,151",0,"3,151",,62,4,58,,"5,136",81,"5,055",,10,0,10,,491,0,491,,32,0,32,,831,0,831,,0,0,0,,0,0,0,3,81,-1,-1,-1,No,-1,Annual Count,"359,721",-1,,73,221,"15,749",Craft Kits for various ages,CA0146,20-21
TRINITY COUNTY FREE LIBRARY,Trinity,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,351 MAIN ST.,WEAVERVILLE,96093,1226,(530) 623-1373,(530) 623-1373,http://library.trinitycounty.org,"3,222.60",Yes,Yes,Yes,Yes,Yes,No,Yes,No,"13,535","6,679","1,182",1,2,0,3,"11,442","$351,711 ","$8,400 ","$7,700 ","$2,400 ","$370,211 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$143,095 ","$137,251 ","$280,346 ","$15,600 ",$275 ,"$15,875 ","$2,700 ",$0 ,"$18,575 ","$44,029 ","$342,950 ",$0 ,5,1,1,1.7,2.7,0,"12,421","1,446","43,071","1,653","6,235",0,"50,959",16,"29,416","13,865",36,2,3,5,"1,817","15,056",Annual Count,221,Annual Count,Yes,$0.10 ,$0.10 ,$0.10 ,Yes,No,"4,446",-1,21,37,-1,"29,692","3,521",-1,,"3,521","33,213",Yes,11,100,9,93,,5,5,0,,35,35,0,,4,4,0,,58,58,0,,0,0,0,,0,0,0,,2,0,2,,7,0,7,,0,0,0,,0,0,0,0,0,0,0,0,Yes,"1,037",Annual Estimate Based on Typical Week(s),"3,352",796,Annual Estimate Based on Typical Week(s),15,2,25,Reading contest for children. Scavenger hunt for children.,CA0147,20-21
TULARE COUNTY FREE LIBRARY,Tulare,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,San Joaquin Valley Library System,200 W. OAK AVE.,VISALIA,93291,4993,(559) 713-2720,(559) 713-2703,http://www.tularecountylibrary.org,"4,824.30",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"352,916","40,155","6,776",1,16,1,18,"89,375","$5,505,518 ","$144,957 ","$217,117 ","$7,884 ","$5,875,476 ",$0 ,$0 ,"$10,000 ",$0 ,"$10,000 ","$1,870,656 ","$855,803 ","$2,726,459 ","$174,192 ","$13,885 ","$188,077 ","$26,999 ","$49,107 ","$264,183 ","$1,845,327 ","$4,835,969 ","$172,454 ",52,10,11,36,47,1.24,"78,950","11,997","208,111","9,070","12,323",35,"229,539",182,"13,944","5,880",0,83,3,86,"4,252","14,215",Annual Count,"19,389",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,No,No,"44,802","2,108","66,368","53,708",18,"134,323","62,808","44,997",,"107,805","242,128",Yes,315,"5,533",106,"4,383",,0,0,0,,0,0,0,,106,67,39,,"4,383","3,835",548,,21,0,21,,87,0,87,,188,11,177,,"1,063",128,935,,0,0,0,,0,0,0,37,"3,010",357,"8,755","2,451",Yes,"1,015",Annual Count,"520,669","3,482",Annual Count,100,796,"22,148","Self-directed activities mainly include take and make craft and STEM bags for all ages. They were offered at all branches regularly, during pick up only service and when building was open, as well as at Summer pop up sites. Also included are participants in seasonal reading challenges including summer, winter, and spring reading programs, which were offered virtually until April 2021, when a hybrid virtual/in-person reading challenge was available.",CA0148,20-21
TULARE PUBLIC LIBRARY,Tulare,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",San Joaquin Valley Library System,475 NORTH M STREET,TULARE,93274,3857,(559) 685-4505,(559) 685-4503,http://www.tularepubliclibrary.org,16,Yes,Yes,Yes,Yes,Yes,No,No,No,"69,246","13,980","3,769",1,0,0,1,"31,408","$1,589,530 ",$0 ,$0 ,"$12,190 ","$1,601,720 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$525,140 ","$211,102 ","$736,242 ","$58,910 ","$4,647 ","$63,557 ","$21,003 ",$0 ,"$84,560 ","$703,179 ","$1,523,981 ",$0 ,13,2,4,6.75,10.75,1.07,"18,299","3,537","69,188","6,128","4,609",52,"79,977",57,"21,264","8,801",267,45,6,51,"1,396","15,929",Annual Count,"5,460",Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,Yes,No,"22,901","1,216","37,205","18,864",-1,"51,714","14,947","18,864",,"33,811","85,525",Yes,28,282,6,98,,2,2,0,,14,14,0,,4,4,0,,84,84,0,,0,0,0,,0,0,0,,22,1,21,,184,4,180,,0,0,0,,0,0,0,0,0,47,"1,437",-1,Yes,"1,475",Annual Count,"34,853","6,026",Annual Estimate Based on Typical Week(s),40,24,720,"Take and make craft activities, STEM Birdwatching Kit, Summer Reading Challenge Kit, Pumpkin Decorating Contest on Facebook, Fair To Go, Adult Craft kits, Paint Night, Women's History Display, Love is...Display",CA0149,20-21
TUOLUMNE COUNTY LIBRARY,Tuolumne,County Library General Fund,County/Parish (exactly),Member of a Federation or Cooperative,County/Parish,49-99 Cooperative Library System,480 GREENLEY RD.,SONORA,95370,5956,(209) 533-5507,(209) 694-2722,http://www.tuolumnecounty.ca.gov/library,"2,217.00",Yes,Yes,Yes,Yes,Yes,No,No,Yes,"53,465","30,899","8,835",1,3,1,5,"25,725","$786,121 ","$47,454 ",$0 ,"$33,300 ","$866,875 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$335,343 ","$252,086 ","$587,429 ","$32,407 ","$12,182 ","$44,589 ","$11,354 ","$4,000 ","$59,943 ","$138,748 ","$786,120 ",$0 ,14,1,1,4.5,5.5,1.25,"22,549","3,251","69,187","2,598","5,723",0,"77,508",183,"15,770","8,064",0,10,5,15,"1,978","15,031",Annual Count,630,Annual Count,Yes,$0.20 ,$0.20 ,$0.10 ,No,No,"16,927",228,"1,158",712,0,"54,750","12,737",4,,"12,741","67,491",No,10,244,10,244,5,5,,,130,130,,,5,5,,,114,114,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,Yes,854,Annual Count,"10,171",-1,,26,0,0,N/A,CA0150,20-21
UPLAND PUBLIC LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,450 N. EUCLID AVE,UPLAND,91786,4732,(909) 931-4200,(909) 931-4205,https://www.ci.upland.ca.us/library,15,Yes,Yes,Yes,Yes,No,No,No,No,"78,513","27,187","3,909",1,0,0,1,"25,210","$1,070,913 ","$41,199 ","$2,000 ",$0 ,"$1,114,112 ","$147,000 ",$0 ,"$147,000 ",$0 ,"$294,000 ",$0 ,$0 ,$0 ,"$54,353 ",$300 ,"$54,653 ","$46,778 ","$16,331 ","$117,762 ","$1,237,108 ","$1,354,870 ","$294,000 ",11,1,1,8.35,9.35,1,"33,958","5,208","75,662","1,392","4,157",230,"81,441",1,"27,821","10,331",240,4,5,9,"1,924","32,689",Annual Count,"9,787",Annual Estimate Based on Typical Week(s),Yes,$0.25 ,$0.25 ,$0.25 ,Yes,Yes,"74,680","1,186","9,139","6,391",123,"116,832","35,926",-1,,"35,926","152,758",No,157,"8,106",120,"7,528",,,,,-1,,,,,,,,-1,,,,,23,14,9,,420,122,298,,14,7,7,,158,76,82,0,0,,,0,0,,,0,0,98,"6,948",-1,Yes,"1,218",Annual Count,-1,"1,196",Annual Count,10,27,750,take-home activities (painting/crafts/STEM kits),CA0151,20-21
VENTURA COUNTY LIBRARY,Ventura,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Southern California Library Cooperative,5600 EVERGLADES ST. SUITE A,VENTURA,93003,6591,(805) 677-7150,(805) 648-2716,http://www.vencolibrary.org,"1,809.00",Yes,Yes,Yes,Yes,Yes,No,No,Yes,"244,274","140,627","16,690",0,13,1,14,"89,509","$8,476,000 ","$469,297 ",$0 ,"$301,343 ","$9,246,640 ","$450,000 ",$0 ,"$750,000 ",$0 ,"$1,200,000 ","$3,937,978 ","$2,252,259 ","$6,190,237 ","$592,702 ","$22,295 ","$614,997 ","$202,651 ","$60,875 ","$878,523 ","$2,363,433 ","$9,432,193 ","$154,000 ",104,14,14,53.32,67.32,3.17,"135,764","20,571","356,377","9,177","23,016",50,"388,620",272,"93,564","49,668","1,075",31,6,37,"17,200","1,557",Annual Count,"26,687",Annual Count,No,,,,Yes,Yes,"132,793","15,328",144,50,"15,946","173,082","412,368","133,485","585,450","545,853","718,935",Yes,887,"7,728",777,"7,346",,595,24,571,,"4,077","1,099","2,978",,182,134,48,,"3,269","2,525",744,,105,24,81,,348,71,277,,5,0,5,,34,0,34,,0,0,0,,0,0,0,46,"1,186",0,0,0,Yes,743,Annual Count,"1,243,357","1,729,616",Annual Count,141,289,"6,253",Grab and Go bags consisting of STEAM kits for you and craft activities for adults,CA0152,20-21
VICTORVILLE CITY LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,15011 CIRCLE DRIVE,VICTORVILLE,92395,3914,(760) 245-4222,(760) 245-4222,https://www.victorvilleca.gov/library/,74,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"127,170","41,300","3,450",1,0,0,1,"9,000","$786,960 ","$13,000 ","$36,000 ","$13,261 ","$849,221 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$453,201 ","$16,985 ","$470,186 ","$44,176 ","$3,941 ","$48,117 ","$40,459 ",$0 ,"$88,576 ","$182,994 ","$741,756 ",$0 ,10,1,1,9,10,0,"13,039","2,885","37,081","2,256","7,810",0,"47,147",8,"491,648","77,843","19,300",11,1,12,48,292,Annual Count,"4,000",Annual Count,No,,,,No,No,"7,110","1,000",0,0,0,"12,768",800,-1,,800,"13,568",Yes,104,"4,112",86,"3,077",,71,0,71,,889,0,889,,15,0,15,,"2,188",0,"2,188",,12,0,12,,540,0,540,,5,0,5,,404,0,404,,1,0,1,,91,0,91,0,0,12,"6,021",0,No,129,Annual Count,-1,-1,,31,0,0,N/A,CA0207,20-21
WATSONVILLE PUBLIC LIBRARY,Santa Cruz,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,"275 MAIN ST., SUITE 100",WATSONVILLE,95076,4695,(831) 768-3400,(831) 768-3404,http://www.watsonvillelibrary.org,6,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"51,366","40,771","10,831",1,1,1,3,"46,000","$3,164,180 ","$58,220 ",$0 ,"$30,920 ","$3,253,320 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,739,806 ","$1,103,233 ","$2,843,039 ","$76,267 ","$9,716 ","$85,983 ","$57,332 ","$24,325 ","$167,640 ","$322,551 ","$3,333,230 ",$0 ,35,10,10,15,25,0,"34,928","5,440","93,780","4,949","5,903",43,"104,675",130,"3,003","8,748",80,39,1,40,"1,344","26,814",Annual Estimate Based on Typical Week(s),"5,060",Annual Estimate Based on Typical Week(s),Yes,$0.10 ,$0.10 ,$0.10 ,No,Yes,"24,030","7,802",307,899,211,"58,330","103,252","35,428",,"138,680","197,010",Yes,179,"1,119",148,428,,0,0,0,,0,0,0,,148,0,148,,428,0,428,0,5,0,5,0,15,0,15,13,26,0,13,412,676,0,264,0,0,0,0,0,0,0,0,13,412,59,"2,713",0,Yes,728,Annual Count,"46,266","20,120",Annual Count,62,50,"3,588","Craft & STEM Kits for juvenile, teens and adults",CA0153,20-21
